id,modified,datasetid,institutioncode,collectioncode,eventid,datecollected,seasoncollected,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,startdecimallatitude,enddecimallatitude,coordinateuncertaintyinmeters,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificname,scientificnameid,aphiaid,rankname,scientificnameaccepted,scientificnameauthorship,aphiaidaccepted,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid,"Count (Dmnless)"
38993697,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Capitella,urn:lsid:marinespecies.org:taxname:129211,http://marinespecies.org/aphia.php?p=taxdetails&id=129211,Genus,Capitella,"Blainville, 1828",http://marinespecies.org/aphia.php?p=taxdetails&id=129211,Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,,,"unit biomass:g/m²",O,,531,,,,,,,,,,17833855,,,,,,,,,,,,,,,,,37
38993698,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,"Macoma balthica",urn:lsid:marinespecies.org:taxname:141579,http://marinespecies.org/aphia.php?p=taxdetails&id=141579,Species,"Macoma balthica","(Linnaeus, 1758)",http://marinespecies.org/aphia.php?p=taxdetails&id=141579,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,,"unit biomass:g/m²",O,,522,,,,,,,,,,17833855,,,,,,,,,,,,,,,,,1294
38993699,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,http://marinespecies.org/aphia.php?p=taxdetails&id=148899,Class,Bacillariophyceae,"Haeckel, 1878",http://marinespecies.org/aphia.php?p=taxdetails&id=148899,Chromista,Ochrophyta,Bacillariophyceae,,,,,,,"unit biomass:g/m²",O,,525,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,3.89503e+006
38993700,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Nemertea,urn:lsid:marinespecies.org:taxname:152391,http://marinespecies.org/aphia.php?p=taxdetails&id=152391,Phylum,Nemertea,,http://marinespecies.org/aphia.php?p=taxdetails&id=152391,Animalia,Nemertea,,,,,,,,"unit biomass:g/m²",O,,532,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,796
38993701,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Cladocera,urn:lsid:marinespecies.org:taxname:1076,http://marinespecies.org/aphia.php?p=taxdetails&id=1076,Superorder,Diplostraca,"Gerstaecker, 1866",http://marinespecies.org/aphia.php?p=taxdetails&id=155670,Animalia,Arthropoda,Branchiopoda,,,,,,,"unit biomass:g/m²",O,,528,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,796
38993702,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Foraminifera,urn:lsid:marinespecies.org:taxname:1410,http://marinespecies.org/aphia.php?p=taxdetails&id=1410,Phylum,Foraminifera,"d'Orbigny, 1826",http://marinespecies.org/aphia.php?p=taxdetails&id=1410,Chromista,Foraminifera,,,,,,,,"unit biomass:g/m²",O,,519,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,2653
38993703,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Acari,urn:lsid:marinespecies.org:taxname:292684,http://marinespecies.org/aphia.php?p=taxdetails&id=292684,Subclass,Acari,"Leach, 1817",http://marinespecies.org/aphia.php?p=taxdetails&id=292684,Animalia,Arthropoda,Arachnida,,,,,,,"unit biomass:g/m²",O,,520,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,199
38993704,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,http://marinespecies.org/aphia.php?p=taxdetails&id=1102,Order,Harpacticoida,"Sars G.O., 1903",http://marinespecies.org/aphia.php?p=taxdetails&id=1102,Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,,"unit biomass:g/m²",O,,517,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,796
38993705,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Halicryptus,urn:lsid:marinespecies.org:taxname:101093,http://marinespecies.org/aphia.php?p=taxdetails&id=101093,Genus,Halicryptus,"von Siebold, 1849",http://marinespecies.org/aphia.php?p=taxdetails&id=101093,Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,,"unit biomass:g/m²",O,,530,,,,,,,,,,17833855,,,,,,,,,,,,,,,,,1014
38993706,2012-02-22T11:09:42.9,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2501,"DFO-MPO Canada",Duplisea,,1994-05-19T00:00:00,spring,1994,,,5,,,19,,,6,,,,"Baltic Sea",,,,,,13.425,,,55.22333333,,,,,,,,Arachnida,urn:lsid:marinespecies.org:taxname:1300,http://marinespecies.org/aphia.php?p=taxdetails&id=1300,Class,Arachnida,"Cuvier, 1812",http://marinespecies.org/aphia.php?p=taxdetails&id=1300,Animalia,Arthropoda,Arachnida,,,,,,,"unit biomass:g/m²",O,,533,,,,,,,,,,17833851,,,,,,,,,,,,,,,,,199
