No,Namespace,Variable,"St George's Church of England Academy, Newtown - 139126",Arc Oakbridge School - 145859,St Chad's Catholic Primary School - 103435,St Chad's Catholic Primary School - 148440,King Solomon International Business School - 149155,St Vincent's Catholic Primary School - 103417,St Matthew's CofE Primary School - 103404,St Catherine of Siena Catholic Primary School - 103433,Chilwell Croft Academy - 138395,St Thomas CofE Academy - 142375,King Solomon International Business School - 141943,Nelson Junior and Infant School - 103237,St Anne's Catholic Primary School - 103434,Chandos Primary School - 143908,Harper Bell Seventh-day Adventist School - 136440,Bordesley Village Primary School - 144337,James Brindley School - 139526,Brookfields Primary School - 146437,Brookfields Primary School - 103175,Cromwell Junior and Infant School - 143563,Calthorpe Academy - 141252,Oasis Academy Woodview - 139128,Lozells Junior and Infant School and Nursery - 103227,Mayfield School - 148225,Aston Tower Community Primary School - 142686,Regents Park Community Primary School - 103193,St Joseph's Catholic Primary School - 103436,St Joseph's Catholic Primary School - 148441,Birmingham Ormiston Academy - 136944,Blackwater Academy - 143039,Aston University Engineering Academy - 138222,Central Academy - 138200,South and City College Birmingham - 130461,City United Academy (CUA) - 137819,Heartlands Academy - 135907,Avecinna Academy - 140382,Archway Academy - 135406,Aston Manor Academy - 136882,City Academy - 148187,City Academy Birmingham - 139797,Jewellery Quarter Academy - 141003,Nishkam High School - 138586,Values Academy - 132743,Newbury Independent School - 143174,Ark St Alban's Academy - 135970,Camp Hill Education - 146999,Central Birmingham Education Centre - 144820,Birmingham Metropolitan College - 130466,The National College for Advanced Transport and Infrastructure - 148721,The National College for Advanced Transport and Infrastructure - 144789,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,139126,145859,103435,148440,149155,103417,103404,103433,138395,142375,141943,103237,103434,143908,136440,144337,139526,146437,103175,143563,141252,139128,103227,148225,142686,103193,103436,148441,136944,143039,138222,138200,130461,137819,135907,140382,135406,136882,148187,139797,141003,138586,132743,143174,135970,146999,144820,130466,148721,144789,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,,Local authority number
4,L,ESTAB,2104,6041,3337,3337,4045,3310,3016,3331,2047,3314,4020,2142,3335,2170,3436,2171,7063,2196,2034,2060,7013,2105,2127,7004,2443,2063,3339,3339,4000,6026,4003,4002,8006,6010,6905,6016,6120,4220,4039,4011,4016,4004,6101,6031,6908,6049,6034,8030,8001,8000,,,Establishment number
5,L,LAESTAB,3302104,3306041,3303337,3303337,3304045,3303310,3303016,3303331,3302047,3303314,3304020,3302142,3303335,3302170,3303436,3302171,3307063,3302196,3302034,3302060,3307013,3302105,3302127,3307004,3302443,3302063,3303339,3303339,3304000,3306026,3304003,3304002,3308006,3306010,3306905,3306016,3306120,3304220,3304039,3304011,3304016,3304004,3306101,3306031,3306908,3306049,3306034,3308030,3308001,3308000,,,DfE number
6,L,SCHNAME,"St George's Church of England Academy, Newtown",Arc Oakbridge School,St Chad's Catholic Primary School,St Chad's Catholic Primary School,King Solomon International Business School,St Vincent's Catholic Primary School,St Matthew's CofE Primary School,St Catherine of Siena Catholic Primary School,Chilwell Croft Academy,St Thomas CofE Academy,King Solomon International Business School,Nelson Junior and Infant School,St Anne's Catholic Primary School,Chandos Primary School,Harper Bell Seventh-day Adventist School,Bordesley Village Primary School,James Brindley School,Brookfields Primary School,Brookfields Primary School,Cromwell Junior and Infant School,Calthorpe Academy,Oasis Academy Woodview,Lozells Junior and Infant School and Nursery,Mayfield School,Aston Tower Community Primary School,Regents Park Community Primary School,St Joseph's Catholic Primary School,St Joseph's Catholic Primary School,Birmingham Ormiston Academy,Blackwater Academy,Aston University Engineering Academy,Central Academy,South and City College Birmingham,City United Academy (CUA),Heartlands Academy,Avecinna Academy,Archway Academy,Aston Manor Academy,City Academy,City Academy Birmingham,Jewellery Quarter Academy,Nishkam High School,Values Academy,Newbury Independent School,Ark St Alban's Academy,Camp Hill Education,Central Birmingham Education Centre,Birmingham Metropolitan College,The National College for Advanced Transport and Infrastructure,The National College for Advanced Transport and Infrastructure,,,School name
7,L,STREET,St George's Street,Buckingham Street,Hospital Street,Hospital Street,Richard Street,Vauxhall Grove,Duddeston Manor Road,Great Colmore Street,Chilwell Croft,Great Colmore Street,Lord Street,King Edward's Road,Lowe Street,Vaughton Street South,29 Ravenhurst Street,Emmeline Street,Bell Barn Road,2 Hingeston Street,2 Hingeston Street,Cromwell Street,Darwin Street,Woodview Drive,Wheeler Street,Wheeler Street,Upper Sutton Street,Arthur Street,Rocky Lane,Rocky Lane,1 Grosvenor Street,68-69 Cecil Street,1 Lister Street,Newhall Street,129 Floodgate Street,10 Edward Street,Great Francis Street,The Garrison Centre,86 Watery Lane,Phillips Street,23 Langley Walk,23 Langley Walk,St George's Court,Great King Street North,15 Key Hill,"Unit 6, Cuckoo Wharf",Conybere Street,The Bordesley Centre,George Street West,Jennens Road,2 Lister Street,2 Lister Street,,,School address (1)
8,L,LOCALITY,,Birmingham,Newtown,Newtown,,Vauxhall,Nechells,Lee Bank,Newtown,,,Ladywood,,Highgate,Camp Hill,Bordesley Village,Edgbaston,Hockley,Hockley,Nechells,Highgate,Edgbaston,,Lozells,Aston,Small Heath,Nechells,Nechells,,BIRMINGHAM,,Ladywood,,,Nechells,106 Garrison Lane,Middleway,Aston,,Ladywood,1 Albion Street,,Hockley,435 Lichfield Road,,Stratford Road,Hockley,,,,,,School address (2)
9,L,ADDRESS3,,,,,,St Vincent's Catholic Primary School,,,,,,,Camp Hill,,,,,,,,,,,,,,,,,,,,Digbeth,Birmingham,,Bordesley,Bordesley,,,,,,,Aston,,Camp Hill,,,,,,,School address (3)
10,L,TOWN,Birmingham,,Birmingham,Birmingham,Birmingham,BIRMINGHAM,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
