No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,133603,138864,137492,148439,103428,138433,103256,146075,103328,103567,139162,103477,147109,103362,143086,135208,138397,138396,103312,145243,134840,142858,143943,146701,103232,103196,142570,103384,147452,103157,143942,103476,138799,146385,140161,140463,131687,140502,103241,103478,139041,137047,103586,134571,103531,139841,134908,138059,145878,136037,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,,Local authority number
4,L,ESTAB,6103,2070,2032,3325,3325,2061,2176,2186,2308,6003,2458,3409,2202,2435,2082,6115,2056,2048,2283,2283,3432,2180,2471,2132,2132,2067,2165,2457,2205,2008,2039,3406,2038,2194,2141,3303,6097,2453,2150,3410,3015,5404,6078,6106,4606,4227,6111,4323,4032,6130,,,Establishment number
5,L,LAESTAB,3306103,3302070,3302032,3303325,3303325,3302061,3302176,3302186,3302308,3306003,3302458,3303409,3302202,3302435,3302082,3306115,3302056,3302048,3302283,3302283,3303432,3302180,3302471,3302132,3302132,3302067,3302165,3302457,3302205,3302008,3302039,3303406,3302038,3302194,3302141,3303303,3306097,3302453,3302150,3303410,3303015,3305404,3306078,3306106,3304606,3304227,3306111,3304323,3304032,3306130,,,DfE number
6,L,SCHNAME,Greenfields Primary School,Montgomery Primary Academy,Nishkam Primary School Birmingham,The Rosary Catholic Primary School,The Rosary Catholic Primary School,"St Michael's CofE Primary Academy, Handsworth",Somerville Primary (NC) School,Birchfield Primary School,Welford Primary School,Edgbaston High School for Girls,Parkfield Community School,Sacred Heart Catholic School,Sacred Heart Catholic School,Benson Community School,Conway Primary School,St Paul's School,Ark Tindal Primary Academy,Nechells Primary E-ACT Academy,Marlborough Junior School,Marlborough Junior School,Clifton Primary School,Yew Tree Community Junior and Infant School (NC),Westminster Primary School,Marlborough Primary School,Marlborough Infant School,Summerfield Junior and Infant School,Highfield Junior and Infant School,Nelson Mandela School,"The Olive School, Small Heath",Shaw Hill Primary School,Canterbury Cross Primary School,St Clare's Catholic Primary School,Nansen Primary School,City Road Primary School,Oasis Academy Foundry,Holy Trinity CE Primary Academy (Handsworth),Hamd House School,Leigh Primary School,Park Hill Primary School,St John and Monica Catholic Primary School,"St Marys C of E Primary and Nursery, Academy, Handsworth",King Edward VI Handsworth School,Darul Uloom Islamic High School,Jamia Islamia Birmingham,St Paul's School for Girls,Broadway Academy,Elmhurst Ballet School,Rockwood Academy,"Eden Boys' Leadership Academy, Birmingham East",Al-Noor Girls Secondary School,,,School name
7,L,STREET,472 Coventry Road,White Road,3-11 Soho Road,Bridge Road,Bridge Road,Piers Road,Somerville Road,Trinity Road,Welford Road,Westbourne Road,Parkfield Road,Earlsbury Gardens,Earlsbury Gardens,Benson Road,Conway Road,73 Hertford Street,Tindal Street,Eliot Street,Green Lane,Green Lane,Brunswick Road,Yew Tree Road,Stamford Road,Marlborough Road,Marlborough Road,Cuthbert Road,Highfield Road,Colville Road,Waverley Road,Anthony Road,Canterbury Road,Robert Road,Naseby Road,City Road,Foundry Road,Havelock Road,The Custard House,Leigh Road,Alcester Road,Chantry Road,Hamstead Road,Rose Hill Road,521-527 Coventry Road,Islamic College,Vernon Road,The Broadway,249 Bristol Road,Naseby Road,441 Alum Rock Road,21 Shakespeare Street,,,School address (1)
8,L,LOCALITY,,Sparkbrook,Handsworth,Saltley,Saltley,Handsworth,Small Heath,Aston,Handsworth,Edgbaston,Saltley,Birchfield,Birchfield,Hockley,Sparkbrook,,Balsall Heath,Nechells,Small Heath,Small Heath,Balsall Heath,Aston,Handsworth,Small Heath,Small Heath,Winson Green,Saltley,Sparkbrook,,Alum Rock,Birchfield,Handsworth,,,,Handsworth,29 - 43 Blake Lane,Washwood Heath,,Moseley,Handsworth,,Small Heath,Fallows Road,Edgbaston,Perry Barr,,Alum Rock,,Sparkhill,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,,,,Balsall Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparkbrook,,,Edgbaston,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
