No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,134102,103572,103588,103313,139242,103392,103172,103324,103192,103261,103421,133521,141752,103467,103580,147757,103258,103425,103332,143090,139875,103317,103308,138590,139173,103937,140656,103200,103456,103255,142623,103600,103444,142219,140014,143562,131164,134982,136213,148644,141969,139788,103584,141668,103585,147702,138937,148553,138695,137034,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,,Local authority number
4,L,ESTAB,2015,6027,6080,2284,2117,2466,2030,2300,2062,2183,3317,6102,4019,3382,6070,4038,2179,3321,2312,2086,2161,2293,2276,2037,3306,2113,2144,2079,3365,2174,6025,7006,3352,4009,4013,5402,6094,6112,6910,6137,4021,4010,6076,4018,6077,6134,4207,4041,5412,4241,,,Establishment number
5,L,LAESTAB,3302015,3306027,3306080,3302284,3302117,3302466,3302030,3302300,3302062,3302183,3303317,3306102,3304019,3303382,3306070,3304038,3302179,3303321,3302312,3302086,3332161,3302293,3302276,3302037,3303306,3332113,3302144,3302079,3303365,3302174,3306025,3307006,3303352,3304009,3304013,3305402,3306094,3306112,3306910,3306137,3304021,3304010,3306076,3304018,3306077,3306134,3304207,3304041,3305412,3304241,,,DfE number
6,L,SCHNAME,James Watt Primary School,Norfolk House School,Cannon Hill House 14 Russell Road,Deykin Avenue Junior and Infant School,Oasis Academy Boulton,Grove School,Bordesley Green Primary School,Arden Primary School,Anderton Park Primary School,St Benedict's Primary School,Holy Family Catholic Primary School,Birmingham Muslim School,Ark Victoria Academy,St Martin de Porres Catholic Primary School,The Blue Coat School Birmingham,Starbank School,Starbank  School,English Martyrs' Catholic Primary School,Chad Vale Primary School,Greet Primary School,Shireland Hall Primary Academy,William Murdoch Primary School,Wilkes Green Infant School (NC),Slade Primary School,St John's CofE Primary School,Cape Primary School,Alston Primary School,George Dixon Primary School,St Teresa's Catholic Primary School,Sladefield Infant School,Woodbourne Hospital School,Hamilton School,King David Primary School,Waverley School,Ark Boulton Academy,King Edward VI Handsworth Grammar School for Boys,Green Oak Academy,Spring Hill High School,Harborne Academy,Myles Academy,"Eden Boys' School, Birmingham",Waverley Studio College,King Edward's School,Saltley Academy,King Edward VI High School for Girls,V.A.S.E Academy,King Edward VI Handsworth Wood Girls' Academy,Prince Albert High School,George Dixon Academy,Holyhead School,,,School name
7,L,STREET,Boulton Road,4 Norfolk Road,Cannon Hill House,Deykin Avenue,Boulton Road,Dawson Road,Marchmont Road,Baker Street,Dennis Road,St Benedict's Road,Coventry Road,Bisley Works,Talbot Way,Oakland Road,Somerset Road,Hob Moor Road,Starbank Road,Evelyn Road,Nursery Road,Percy Road,Montague Road,Antrobus Road,Antrobus Road,Slade Road,Stratford Road,Cape Hill,Alston Road,City Road,Butlers Road,Bamville Road,Priory Woodbourne Hospital,Hamilton Road,Alcester Road,Yardley Green Road,Golden Hillock Road,Grove Lane,11 - 15 Woodstock Road,C/O 28 Slade Road,Harborne Road,"Unit 7, The 3b Business Village, Alexandra Road",150 Wellhead Lane,470 Belchers Lane,Edgbaston Park Road,Belchers Lane,Edgbaston Park Road,Oaklands Centre,Church Lane,115 Holford Drive,Portland Road,Milestone Lane,,,School address (1)
8,L,LOCALITY,Soho,Edgbaston,14 Russell Road,Witton,,Handsworth,,Sparkhill,Sparkhill,,,Golden Hillock Road,Small Heath,Moseley,Edgbaston,,,Sparkhill,Edgbaston,Sparkhill,,Handsworth,Handsworth,Erdington,Sparkhill,,Bordesley Green East,Edgbaston,Handsworth Wood,Ward End,21 Woodbourne Road,Handsworth,Moseley,Bordesley Green,Sparkhill,Handsworth,Moseley,Erdington,Edgbaston,,Perry Barr,Bordesley Green,,Bordesley Green,,Oaklands Road,Handsworth,Perry Barr,Edgbaston,Handsworth,,,School address (2)
9,L,ADDRESS3,,,Moseley,,Handsworth,,,,,,Small Heath,Small Heath,,,,,,English Martyrs Rc Junior & Infant School,,,,,,,,,,,,,Edgbaston,,,,,,,,,,,,,,,Handsworth,,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
