No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,130244,137168,104000,103398,139465,103268,103178,103217,103605,141929,103247,138033,103401,138194,103460,147191,146268,132261,103442,142888,144722,134083,103431,132201,131465,103622,103438,103233,134098,103470,139000,139888,139439,103447,103933,139214,147201,135561,103497,103625,135170,135238,139994,138137,145120,136592,103519,143413,146858,103616,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,333,330,330,330,330,330,330,333,330,333,330,330,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,330,330,333,330,330,330,330,330,330,330,330,330,,,Local authority number
4,L,ESTAB,6113,2481,3403,3003,2295,2192,2040,2108,7014,3404,2159,2122,3010,2036,3372,2021,2187,2477,3350,2167,2181,3413,3329,2482,5949,7045,3344,2133,2005,3386,2078,4084,2126,3355,2105,2110,4035,6128,4173,7050,6906,6116,4246,4206,4029,4060,4245,2168,7001,7036,,,Establishment number
5,L,LAESTAB,3306113,3302481,3333403,3303003,3302295,3302192,3302040,3302108,3307014,3333404,3302159,3332122,3303010,3302036,3303372,3332021,3302187,3302477,3303350,3302167,3302181,3303413,3303329,3302482,3305949,3307045,3303344,3302133,3302005,3303386,3302078,3304084,3302126,3303355,3332105,3302110,3304035,3306128,3304173,3307050,3336906,3306116,3304246,3304206,3304029,3304060,3304245,3302168,3307001,3307036,,,DfE number
6,L,SCHNAME,Al-Ameen Primary School,Rookery School,St Matthew's CofE Primary School,Moseley Church of England Primary School,Brookvale Primary School,Thornton Primary School,Cherry Orchard Primary School,Ward End Primary School,Uffculme School,St Philip's Catholic Primary School,Redhill Primary School,Victoria Park Primary,"St James Church of England Primary School, Handsworth",Erdington Hall Primary School,St Bernadette's Catholic Primary School,Shireland Technology Primary School,St Mary and St John Junior and Infant School,Harborne Primary School,St Mary and St John Junior and Infant School,"The Olive School, Birmingham",Springfield Primary Academy,Springfield Primary School,St Augustine's Catholic Primary School,Wattville Primary School,Al-Furqan Primary School,The Pines Special School,St Mary's Catholic Primary School,Marsh Hill Primary School,Kings Heath Primary School,St Cuthbert's RC Junior and Infant (NC) School,Moor Green Primary Academy,Washwood Heath Academy,Tiverton Academy,St Edward's Catholic Primary School,Bearwood Primary School,Oasis Academy Hobmoor,"Eden Girls'  Leadership Academy, Birmingham",Flexible Learning School,Queensbridge School,Fox Hollies School and Performing Arts College,Shireland Collegiate Academy,Ward End Community College,Yardleys School,Stockland Green School,Lordswood Boys' School,Lordswood Girls' School and Sixth Form Centre,Moseley School and Sixth Form,Erdington Academy,Queensbury School,Queensbury School,,,School name
7,L,STREET,Stanfield House,Rookery Road,Windmill Lane,Oxford Road,Mallard Drive,Thornton Road,Cherry Orchard Road,Ingleton Road,Yew Tree Road,Messenger Road,Redhill Road,Ballot Street,Sandwell Road,Ryland Road,Hobmoor Road,Waterloo Road,Beaufort Road,Station Road,Beaufort Road,215 Reddings Lane,Springfield Road,Springfield Road,Avenue Road,Wattville Road,Reddings Lane,Marsh Hill,Vivian Road,Marsh Hill,Valentine Road,Gumbleberrys Close,Moor Green Lane,Burney Lane,Tiverton Road,Greenland Road,Bearwood Road,Wash Lane,256 Hob Moor Road,23 All Saints Road,Queensbridge Road,Highbury Community Campus,Waterloo Road,962-968 Alum Rock Road,Reddings Lane,Slade Road,Hagley Road,Knightlow Road,Wake Green Road,Kingsbury Road,Wood End Road,Wood End Road,,,School address (1)
8,L,LOCALITY,447 Warwick Road,Handsworth,,Moseley,Erdington,Ward End,Handsworth Wood,,,,Hay Mills,,,Erdington,Yardley,,Erdington,Harborne,Erdington,,Moseley,Moseley,Handsworth,Handsworth,Tyseley,,Harborne,Erdington,Kings Heath,Off Cotterills Lane,Moseley,Stechford,Selly Oak,Selly Park,,Yardley,,Hockley,Moseley,Queensbridge Road,,Ward End,Tyseley,Erdington,Harborne,Harborne,Moseley,Erdington,,Erdington,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stechford,,,,,,,,Birmingham,,Moseley,,,,,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
