No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,139904,103300,103941,134476,103262,103424,135288,103326,103462,148359,138218,103318,103246,131184,103455,143869,141924,139378,103284,103626,138281,103168,103169,148887,141484,103627,133996,103930,103412,147478,103929,103453,103410,139011,103263,142338,103628,103503,103534,103498,103611,103560,103483,103606,134034,136032,134993,137044,137045,143040,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,333,330,330,330,333,330,330,333,330,330,330,333,330,330,333,330,330,330,330,330,330,330,330,330,330,333,330,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,,,Local authority number
4,L,ESTAB,2138,2254,2123,3428,2184,3320,3409,2306,3375,6018,2065,2294,2157,2180,3363,3430,3405,2122,2231,7051,7031,2024,2025,2208,3374,7052,3421,2102,3302,3302,2101,3361,3025,2098,2185,6019,7053,4201,4625,4177,7030,5413,4015,7016,6104,6909,6905,5406,5407,6030,,,Establishment number
5,L,LAESTAB,3302138,3302254,3332123,3303428,3302184,3303320,3333409,3302306,3303375,3336018,3302065,3302294,3302157,3332180,3303363,3303430,3333405,3302122,3302231,3307051,3307031,3302024,3302025,3302208,3303374,3307052,3303421,3332102,3303302,3303302,3332101,3303361,3303025,3302098,3302185,3306019,3307053,3304201,3304625,3304177,3307030,3305413,3304015,3307016,3306104,3306909,3336905,3305406,3305407,3306030,,,DfE number
6,L,SCHNAME,Grestone Academy,Blakesley Hall Primary School,Crocketts Community Primary School,St Peters CofE Primary School,Stechford Primary School,Corpus Christi Catholic Primary School,Galton Valley Primary School,Water Mill Primary School,St Bernard's Catholic Primary School,The Regis Academy,Dorrington Academy,Featherstone Primary School,Raddlebarn Primary School,Uplands Manor Primary School and Nursery,St Dunstan's Catholic Primary School,Hodge Hill Primary School,St Gregory's Catholic Primary School,Yarnfield Primary School,Yorkmead Junior and Infant School,Cherry Oak School,Wilson Stuart School,Birches Green Junior School,Birches Green Infant School,Birches Green Junior School,Our Lady of Fatima Catholic Primary School,Beaufort School,Yardley Primary School,Abbey Infant School,Saint Barnabas Church of England Primary School,Saint Barnabas Church of England Primary School,Abbey Junior School,St Margaret Mary RC Junior and Infant School,St Mary's Church of England Primary School,Tame Valley Academy,Colebourne Primary School,Riverside Education,Oscott Manor School,Hodge Hill College,St John Wall Catholic School,Selly Park  Girls' School,Braidwood School for the Deaf,Bishop Challoner Catholic College,Hodge Hill Girls' School,Baskerville School,Al-Burhan Grammar School,North Birmingham Academy,Sandwell Academy,King Edward VI Camp Hill School for Girls,King Edward VI Camp Hill School for Boys,Imedia School,,,School name
7,L,STREET,Grestone Avenue,Yardley Green Road,Coopers Lane,Old Church Road,Albert Road,Lyttelton Road,Brasshouse Lane,Water Mill Close,Wake Green Road,8 Brasshouse Lane,Dorrington Road,Glenville Drive,Gristhorpe Road,Addenbrooke Road,Drayton Road,76 Twycross Grove,Park Road,Yarnfield Road,York Road,60 Frederick Road,Perry Common Road,Birches Green Road,Birches Green Road,Birches Green Road,Winchfield Drive,Stechford Road,Harvey Road,Maurice Road,Spring Lane,Spring Lane,Barclay Road,Perry Common Road,Lodge Hill Road,Chillinghome Road,Stechford Road,2 Riverside Drive,290 Reservoir Road,Bromford Road,Oxhill Road,5 Selly Park Road,Bromford Road,Institute Road,Bromford Road,Fellows Lane,Spring Road Centre,395 College Road,Halfords Lane,Vicarage Road,Vicarage Road,85 Summer Road,,,School address (1)
8,L,LOCALITY,Handsworth Wood,Stechford,,Harborne,Stechford,Stechford,,Selly Oak,Moseley,,Perry Barr,,,,Kings Heath,Hodge Hill,Bearwood,Tyseley,Hall Green,Selly Oak,Erdington,Erdington,Erdington,Erdington,Harborne,Hodge Hill,Yardley,,Erdington,Erdington,,,Selly Oak,,Hodge Hill,Stechford,Erdington,Hodge Hill,Handsworth,Selly Park,,Kings Heath,Hodge Hill,Harborne,258 Spring Road,,,Kings Heath,Kings Heath,Erdington,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,Selly Oak,,,,,,,,,,,,,,,,,,,Erdington,,,,,,,,,,,,,Tyseley,Erdington,,,,Birmingham,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,West Bromwich,Birmingham,Birmingham,,,,School town
