No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,138693,103214,143088,141292,141293,141242,103454,146298,103613,103188,103189,139443,134099,140706,139125,103932,147758,103363,103615,148973,103468,103267,103213,103576,103295,147009,103429,103614,103164,103163,103422,147669,103201,103320,103445,103446,143087,103514,103501,139746,137858,142115,136406,140863,139962,103541,146124,145580,143038,130467,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Sandwell,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,,,Local authority name
3,L,LA,330,330,330,333,333,330,330,330,330,330,330,330,330,330,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,,,Local authority number
4,L,ESTAB,2085,2099,2226,2124,2125,6017,3362,3362,7033,2053,2054,2020,2011,2299,2103,2104,2206,2436,7035,3383,3383,2191,2097,6060,2245,2199,3327,7034,2017,2016,3318,3318,2081,2296,3353,3354,2447,4237,4193,4240,5409,6018,5411,4014,6015,4804,4804,4031,6011,8285,,,Establishment number
5,L,LAESTAB,3302085,3302099,3302226,3332124,3332125,3306017,3303362,3303362,3307033,3302053,3302054,3302020,3302011,3302299,3302103,3332104,3302206,3302436,3307035,3303383,3303383,3302191,3302097,3306060,3302245,3302199,3303327,3307034,3302017,3302016,3303318,3303318,3302081,3302296,3303353,3303354,3302447,3304237,3304193,3304240,3305409,3306018,3305411,3304014,3306015,3304804,3304804,3304031,3336011,3308285,,,DfE number
6,L,SCHNAME,Greenholm Primary School,Hawthorn Primary School,Cedars Academy,Devonshire Junior Academy,Devonshire Infant Academy,Kimichi School,St Peter and St Paul RC Junior and Infant School,St Peter and St Paul RC Junior and Infant School,Selly Oak Trust School,Colmore Junior School,Colmore Infant and Nursery School,Acocks Green Primary School,Wheelers Lane Primary School,Cottesbrooke Infant and Nursery School,Oasis Academy Short Heath,Annie Lennard Primary School,Osborne Primary School,Osborne Primary School,The Dame Ellen Pinsent School,St Mark's Catholic Primary School,St Mark's Catholic Primary School,Court Farm Primary School,Story Wood School,Highclare School,Welsh House Farm Community School and Special Needs Resources Base,Holy Souls Catholic Primary School,Holy Souls Catholic Primary School,Priestley Smith School,Beeches Infant School,Beeches Junior School,Abbey Catholic Primary School,Abbey Catholic Primary School,Gilbertstone Primary School,Glenmead Primary School,Bournville Village Primary,Bournville Infant School,The Oval School,Swanshurst School,Wheelers Lane Technology College,Hamstead Hall Academy,Hall Green School,Oscott Academy,"Ninestiles, an Academy",The University of Birmingham School,Aspire Ap School,Archbishop Ilsley Catholic School,Archbishop Ilsley Catholic School,Arena Academy,Sandwell Valley School,Fircroft College of Adult Education,,,School name
7,L,STREET,Greenholm Road,Hawthorn Road,Cedars Avenue,Auckland Road,Auckland Road,Eastbourne House,Kingsbury Road,Kingsbury Road,Oak Tree Lane,Colmore Road,Colmore Road,Westley Road,Wheelers Lane,Yardley Road,Streetly Road,The Oval,Osborne Road,Osborne Road,Ardencote Road,Almond Croft,Almond Croft,Tedbury Crescent,Hastings Road,10 Sutton Road,Welsh House Farm Road,Mallard Close,Mallard Close,Perry Beeches Campus,Beeches Road,"Beeches Junior School, Beeches Road",Sutton Road,Sutton Road,Clay Lane,Glenmead Road,Linden Road,Linden Road,Whittington Oval,Brook Lane,Wheelers Lane,Craythorne Avenue,Southam Road,St Martins's Church Centre,Hartfield Crescent,Weoley Park Road,Hall Green Baptist Church,Victoria Road,Victoria Road,Beeches Road,150 Birmingham Road,1018 Bristol Road,,,School address (1)
8,L,LOCALITY,Great Barr,Kingstanding,,,,111 Yardley Road,Erdington,Erdington,Selly Oak,Kings Heath,Kings Heath,Acocks Green,Kings Heath,Acocks Green,Erdington,,Erdington,Erdington,Kings Heath,Old Walsall Road,Old Walsall Road,Erdington,Perry Common,Erdington,Quinton,Acocks Green,Acocks Green,Beeches Road,,Great Barr,,,,,Bournville,,Yardley,Billesley,Kings Heath,Handsworth Wood,Hall Green,140 Witton Lodge Road,Acocks Green,Selly Oak,1250 Stratford Road,Acocks Green,Acocks Green,,West Bromwich,Selly Oak,,,School address (2)
9,L,ADDRESS3,,,,,,Acocks Green,,,,,,,,,,,,,,Great Barr,Great Barr,,,Birmingham,,,,Great Barr,,,Erdington,Erdington,,,,,,,Wheelers Lane Kings Heath,,,Erdington,,,Birmingham,,,,West Midlands,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Birmingham,Smethwick,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Smethwick,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,West Bromwich,Birmingham,,,School town
