No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,148333,143437,103451,148083,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,133729,146722,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,103537,147707,139043,143438,143435,142388,135608,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Sandwell,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Sandwell,Sandwell,Sandwell,Sandwell,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,330,330,330,333,330,330,330,330,333,330,330,330,330,330,330,333,330,333,333,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,330,333,333,333,333,333,330,330,330,333,330,330,330,330,,,Local authority number
4,L,ESTAB,2093,2475,2068,2136,2188,2133,2092,2021,2072,2149,2025,3412,3359,3359,2064,3319,2465,2015,2441,2177,2016,2455,2450,3351,2111,2153,2314,2128,2485,2485,2317,2225,3002,3328,2129,2119,2091,2134,2135,2108,2004,4138,4063,4663,4663,4129,4129,5403,4022,6129,,,Establishment number
5,L,LAESTAB,3302093,3302475,3302068,3302136,3302188,3332133,3302092,3302021,3302072,3302149,3332025,3303412,3303359,3303359,3302064,3303319,3302465,3332015,3302441,3332177,3332016,3302455,3302450,3303351,3302111,3302153,3302314,3302128,3302485,3302485,3302317,3302225,3333002,3303328,3302129,3302119,3302091,3332134,3332135,3332108,3332004,3334138,3304063,3304663,3304663,3334129,3304129,3305403,3304022,3306129,,,DfE number
6,L,SCHNAME,Hall Green Infant School,Firs Primary School,Warren Farm Primary School,Woodhouse Primary Academy,Stirchley Primary School,Lightwoods Primary School,Hall Green Junior School,Paganel Primary School,Billesley Primary School,Paget Primary School,Lightwoods Primary Academy,Audley Primary School,St Wilfrid's Catholic Junior and Infant School,St Wilfrid's Catholic Junior and Infant School,The Oaklands Primary School,Christ The King Catholic Primary School,Calshot Primary School,Hamstead Junior School,Kingsthorne Primary School,Ferndale Primary School,Hamstead Infant School,Heathlands Primary Academy,Barr View Primary & Nursery Academy,Our Lady and St Rose of Lima Catholic Primary School,Jervoise School,Allens Croft Primary School,Woodthorpe Junior and Infant School,Lyndon Green Junior School,Yenton Primary School,Yenton Primary School,World's End Infant and Nursery School,World's End Junior School,Holy Trinity CofE Primary School,Our Lady of Lourdes Catholic Primary School,Lyndon Green Infant School,Lakey Lane Junior and Infant School,Gunter Primary School,Moat Farm Junior School,Moat Farm Infant School,Bleakhouse Primary School,George Betts Primary Academy,Holly Lodge High School College of Science,Kings Heath Boys,St Edmund Campion Catholic School & Sixth Form Centre,St Edmund Campion Catholic School,Bristnall Hall Academy,Dame Elizabeth Cadbury School,Fortis Academy,Cockshut Hill School,TLG North Birmingham,,,School name
7,L,STREET,Petersfield Road,Dreghorn Road,Aylesbury Crescent,Woodhouse Road,Pershore Road,Castle Road East,Stratford Road,Swinford Road,Trittiford Road,Paget Road,Castle Road East,Audley Road,Shawsdale Road,Shawsdale Road,Dolphin Lane,Warren Farm Road,Calshot Road,Hamstead Road,Cranbourne Road,Ferndale Avenue,Tanhouse Avenue,Heath Way,Aldridge Road,Gregory Avenue,Jervoise Road,Allens Croft Road,Greenwood Close,Wensley Road,Chester Road,Chester Road,Worlds End Lane,Worlds End Lane,Trinity Road South,Trittiford Road,Wychwood Cresent,Lakey Lane,Gunter Road,Brookfields Road,Brookfields Road,Bleakhouse Road,West End Avenue,Holly Lane,Chamberlain Road,Sutton Road,Sutton Road,Bristnall Hall Lane,Woodbrooke Road,Aldridge Road,Cockshut Hill,Six Ten Youth & Community Centre,,,School address (1)
8,L,LOCALITY,Hall Green,Castle Bromwich,Kingstanding,Quinton,Stirchley,(Second Site At Wolverhampton Rd Cnr Clent Road B68 0lp),Hall Green,Selly Oak,Billesley,Pype Hayes,(Second Site At Wolverhampton Rd Cnr Clent Road B68 0lp),Stechford,,,Acocks Green,Kingstanding,Great Barr,Great Barr,Kingstanding,Great Barr,Great Barr,Castle Bromwich,Great Barr,Weoley Castle,Weoley Castle,Kings Heath,Kings Heath,Sheldon,Erdington,Erdington,Quinton,Quinton,,Yardley Wood,Sheldon,Hall Green,Pype Hayes,,,,,,Kings Heath,Erdington,Erdington,,Bournville,Great Barr,Yardley,610 Kingstanding Road,,,School address (2)
9,L,ADDRESS3,,Firs Primary School,,,,,,,,,,,,,,,,,,,,,,Our Lady & St. Rose of Lima Catholic Primary Schoo,,,,,,,,,,,,,,,,,,,,,,,,,,Kingstanding,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,West Bromwich,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Oldbury,Oldbury,Smethwick,Smethwick,Birmingham,Birmingham,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
