No,Namespace,Variable,Brays School - 144042,Maryvale Catholic Primary School - 103426,Warley Infant School - 103963,Lea Forest Primary Academy - 139003,Princethorpe Junior School - 146817,Princethorpe Infant School - 143436,Princethorpe Junior School - 103244,St Joseph's Catholic Primary School - 141670,Severne Junior Infant and Nursery School - 103252,Twickenham Primary School - 140518,Rood End Primary School - 103984,Cotteridge Primary School - 103190,Our Lady and St Hubert's Catholic Primary School - 141926,Wylde Green Primary School - 103349,King George V Primary School - 131223,St Francis Church of England Aided Primary School and Nursery - 143434,Kings Rise Academy - 138889,Northfield Manor Primary Academy - 142203,Oasis Academy Blakenhale Junior - 139129,Oasis Academy Blakenhale Infants - 139120,St Ambrose Barlow Catholic Primary School - 103465,Kineton Green Primary School - 104048,Brandhall Primary School - 103976,St Alban's Catholic Primary School - 103466,Robin Hood Academy - 140262,Penns Primary School - 103356,St Margaret's Church of England Primary School - 146107,Boldmere Junior School - 103341,Boldmere Infant School and Nursery - 103342,Holy Name Catholic Primary School - 103996,Whitecrest Primary School - 103922,Bournville School - 141318,Hallmoor School - 144336,St Mary and St Margaret's Church of England Aided Primary School - 104097,Gossey Lane Academy - 142794,Olton Primary School - 104076,Yardley Wood Community Primary School - 103281,Chivenor Primary School - 140159,Brownmead Primary Academy - 141320,Eaton Valley Primary School - 103923,Lyng Primary School - 103968,Grove Vale Primary School - 103972,Q3 Academy Langley - 141698,Hillcrest School and Sixth Form Centre - 137346,Cardinal Wiseman Catholic School - 103539,Kings Norton Girls' School - 136590,Lyndon School - 142075,Oldbury Academy - 137701,King Edward VI Sheldon Heath Academy - 136152,Sandwell College - 130479,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,144042,103426,103963,139003,146817,143436,103244,141670,103252,140518,103984,103190,141926,103349,131223,143434,138889,142203,139129,139120,103465,104048,103976,103466,140262,103356,146107,103341,103342,103996,103922,141318,144336,104097,142794,104076,103281,140159,141320,103923,103968,103972,141698,137346,103539,136590,142075,137701,136152,130479,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Sandwell,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Solihull,Sandwell,Birmingham,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Sandwell,Sandwell,Birmingham,Birmingham,Solihull,Birmingham,Solihull,Birmingham,Birmingham,Birmingham,Sandwell,Sandwell,Sandwell,Sandwell,Birmingham,Birmingham,Birmingham,Solihull,Sandwell,Birmingham,Sandwell,,,Local authority name
3,L,LA,330,330,333,330,330,330,330,330,330,330,333,330,333,330,333,330,330,330,330,330,330,334,333,330,330,330,334,330,330,333,333,330,330,334,330,334,330,330,330,333,333,333,333,330,330,330,334,333,330,333,,,Local authority number
4,L,ESTAB,7038,3322,2154,2096,2198,2156,2155,2158,2169,2449,2179,2055,3402,2412,2182,5205,2073,2263,2107,2102,3380,2013,2171,3381,2460,2425,3300,2401,2402,3308,2070,4017,7000,3314,2448,2087,2227,2140,2152,2072,2162,2166,4003,4012,4801,5414,4000,4110,6906,8000,,,Establishment number
5,L,LAESTAB,3307038,3303322,3332154,3302096,3302198,3302156,3302155,3302158,3302169,3302449,3332179,3302055,3333402,3302412,3332182,3305205,3302073,3302263,3302107,3302102,3303380,3342013,3332171,3303381,3302460,3302425,3343300,3302401,3302402,3333308,3332070,3304017,3307000,3343314,3302448,3342087,3302227,3302140,3302152,3332072,3332162,3332166,3334003,3304012,3304801,3305414,3344000,3334110,3306906,3338000,,,DfE number
6,L,SCHNAME,Brays School,Maryvale Catholic Primary School,Warley Infant School,Lea Forest Primary Academy,Princethorpe Junior School,Princethorpe Infant School,Princethorpe Junior School,St Joseph's Catholic Primary School,Severne Junior Infant and Nursery School,Twickenham Primary School,Rood End Primary School,Cotteridge Primary School,Our Lady and St Hubert's Catholic Primary School,Wylde Green Primary School,King George V Primary School,St Francis Church of England Aided Primary School and Nursery,Kings Rise Academy,Northfield Manor Primary Academy,Oasis Academy Blakenhale Junior,Oasis Academy Blakenhale Infants,St Ambrose Barlow Catholic Primary School,Kineton Green Primary School,Brandhall Primary School,St Alban's Catholic Primary School,Robin Hood Academy,Penns Primary School,St Margaret's Church of England Primary School,Boldmere Junior School,Boldmere Infant School and Nursery,Holy Name Catholic Primary School,Whitecrest Primary School,Bournville School,Hallmoor School,St Mary and St Margaret's Church of England Aided Primary School,Gossey Lane Academy,Olton Primary School,Yardley Wood Community Primary School,Chivenor Primary School,Brownmead Primary Academy,Eaton Valley Primary School,Lyng Primary School,Grove Vale Primary School,Q3 Academy Langley,Hillcrest School and Sixth Form Centre,Cardinal Wiseman Catholic School,Kings Norton Girls' School,Lyndon School,Oldbury Academy,King Edward VI Sheldon Heath Academy,Sandwell College,,,School name
7,L,STREET,Brays Road,Old Oscott Hill,Bleakhouse Road,Hurstcroft Road,Princethorpe Road,Princethorpe Road,Princethorpe Road,Selly Oak Road,Severne Road,Twickenham Road,Rood End Road,Breedon Road,Moat Road,Green Lanes,Beeches Road,Teazel Avenue,Hornsey Road,Swarthmore Road,Homestead Road,Blakenhale Road,841 Shirley Road,Kineton Green Road,Brennand Road,Broad Lane,Pitmaston Road,Berwood Road,Richmond Road,Cofield Road,Cofield Road,Cross Lane,Whitecrest,Hay Green Lane,50 Scholars Gate,Southfield Avenue,Gossey Lane,Lyndon Road,School Road,Farnborough Road,Pencroft Road,Dagger Lane,Horton Street,Monksfield Avenue,Moat Road,Stonehouse Lane,Old Oscott Hill,Selly Oak Road,Daylesford Road,Pound Road,Sheldon Heath Road,1 Spon Lane,,,School address (1)
8,L,LOCALITY,Sheldon,Kingstanding,,Kitts Green,Weoley Castle,Weoley Castle,Weoley Castle,Kings Norton,Acocks Green,Kingstanding,,Cotteridge,,,,Bournville,Kingstanding,Selly Oak,Garretts Green,Garrett's Green,Hall Green,Olton,,Kings Heath,Hall Green,,Olton,Boldmere,,Great Barr,Great Barr,,Kitts Green,Castle Bromwich,Kitts Green,Olton,Yardley Wood,Castle Vale,Shard End,,,Great Barr,,,Kingstanding,Kings Norton,,,Sheldon,,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Birmingham,Oldbury,Sutton Coldfield,West Bromwich,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Solihull,Oldbury,Birmingham,Birmingham,Sutton Coldfield,Solihull,Sutton Coldfield,Sutton Coldfield,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Birmingham,West Bromwich,West Bromwich,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Solihull,Oldbury,Birmingham,West Bromwich,,,School town
