No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,103205,132232,143091,103365,139131,142358,103573,103441,147017,104131,104102,148089,141001,103632,103257,141610,103298,143439,103953,140529,134774,103978,103221,103905,103266,148653,104099,148086,141922,144043,103372,103969,103286,103288,104080,103381,138104,103449,148589,147182,103562,139047,135911,104012,148267,137007,138971,135792,141813,144306,,,School unique reference number
2,L,LANAME,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Solihull,Solihull,Solihull,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Sandwell,Birmingham,Sandwell,Birmingham,Birmingham,Solihull,Solihull,Sandwell,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Birmingham,Birmingham,Sandwell,Birmingham,Birmingham,Birmingham,Sandwell,Sandwell,Solihull,Birmingham,Sandwell,Sandwell,Birmingham,,,Local authority name
3,L,LA,330,333,330,330,330,330,330,330,330,334,334,334,333,330,330,330,330,330,333,330,330,333,330,333,330,330,334,334,333,330,330,333,330,330,334,330,330,330,330,333,330,330,330,333,333,334,330,333,333,330,,,Local authority number
4,L,ESTAB,2087,7018,2273,2438,2109,2315,6048,3349,2201,7002,3504,3504,6006,7062,2178,2451,2251,3004,2140,3403,3431,2173,2115,2041,2190,2207,3501,3501,3401,7049,2445,2163,2236,2238,2091,2454,2195,3357,4042,4007,5415,4005,6907,4111,4111,4012,6013,6005,4005,4024,,,Establishment number
5,L,LAESTAB,3302087,3337018,3302273,3302438,3302109,3302315,3306048,3303349,3302201,3347002,3343504,3343504,3336006,3307062,3302178,3302451,3302251,3303004,3332140,3303403,3303431,3332173,3302115,3332041,3302190,3302207,3343501,3343501,3333401,3307049,3302445,3332163,3302236,3302238,3342091,3302454,3302195,3303357,3304042,3334007,3305415,3304005,3306907,3334111,3334111,3344012,3306013,3336005,3334005,3304024,,,DfE number
6,L,SCHNAME,Grendon Primary School,The Orchard School,Topcliffe Primary School,Highters Heath Community School,Four Dwellings Primary Academy,Nonsuch Primary School,Rosslyn School and Day Nursery,St Thomas More Catholic Primary School,St Thomas More Catholic Primary School,Reynalds Cross School,Our Lady of Compassion Catholic Primary School,Our Lady of Compassion Catholic Primary School,Al Khair Primary School,Lindsworth School,Stanville Primary School,Green Meadow Primary School,Chilcote Primary School,Quinton Church Primary School,Perryfields Primary School,St Nicholas Catholic Primary School,New Oscott Primary School,Langley Primary School,Kingsland Primary School (NC),Hargate Primary School,Sundridge Primary School,Leycroft Academy,St Andrew's Catholic Primary School,St Andrew's Catholic Primary School,St Francis Xavier Catholic Primary School,The Bridge School,Woodcock Hill Primary School,Lodge Primary School,Broadmeadow Junior School,Broadmeadow Infant School,Langley Primary School,Elms Farm Community Primary School,Timberley Academy,Our Lady's Catholic Primary School,"Christ Church, Church of England Secondary Academy",West Bromwich Collegiate Academy,King's Norton Boys' School,Four Dwellings Academy,Shenley Academy,Perryfields High School Specialist Maths and Computing College,Perryfields Academy,Langley School,Silver Birch School 11-17 Independent Provision,The British Muslim School,Shireland Biomedical Utc,Tile Cross Academy,,,School name
7,L,STREET,Grendon Road,Causeway Green Road,Hawkinge Drive,Highters Heath Lane,Quinton Road West,Wood Leasow,1597 Stratford Road,Horse Shoes Lane,Horse Shoes Lane,Kineton Green Road,Kineton Green Road,Kineton Green Road,61/63 Oak Way Green,Monyhull Hall Road,Stanville Road,Green Meadow Road,Chilcote Close,Hagley Road West,Apsley Road,Jockey Road,Markham Road,Titford Road,Bandywood Crescent,Hargate Lane,Sundridge Road,Gressel Lane,Windrush Close,Windrush Close,McKean Road,Coppice View Road,Farwood Road,Oak Lane,Monyhull Hall Road,Monyhull Hall Road,St Bernard's Road,Dorncliffe Avenue,Bradley Road,East Meadway,6 Dale View Road,Kelvin Way,Northfield Road,Dwellings Lane,Shenley Lane,Oldacre Road,Oldacre Road,Kineton Green Road,170 PACKINGTON AVENUE,Latifiah Fultali Complex,High Street,Gressel Lane,,,School address (1)
8,L,LOCALITY,Kings Heath,,Castle Vale,Kings Heath,Quinton,Woodgate Valley,Hall Green,Sheldon,,Olton,,,Off Causeway Green Road,Kings Norton,,Selly Oak,,Quinton,,,,,,,Kingstanding,,,,,Sutton Coldfield,Northfield,,Kings Norton,Kings Norton,Olton,Sheldon,Shard End,Tile Cross,,,King's Norton,,,,,Olton,SHARD END,Lodge Road,West Bromwich,Tile Cross,,,School address (2)
9,L,ADDRESS3,,,,,,,Birmingham,,,,,,Oldbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quinton,Northfield,,,,BIRMINGHAM,West Bromwich,,,,,School address (3)
10,L,TOWN,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,West Midlands,Birmingham,Birmingham,Solihull,Solihull,Solihull,West Midlands,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Sutton Coldfield,Sutton Coldfield,Oldbury,Birmingham,West Bromwich,Birmingham,Birmingham,Solihull,Solihull,Oldbury,Birmingham,Birmingham,West Bromwich,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Birmingham,Birmingham,West Bromwich,Birmingham,Birmingham,Birmingham,Oldbury,Oldbury,Solihull,,West Midlands,West Bromwich,Birmingham,,,School town
