No,Namespace,Variable,Mayfield School - 103619,St John's & St Peter's CofE Academy - 138883,St Edmund's Catholic Primary School - 103440,West House School - 103575,Percy Shurmer Academy - 138410,St Francis Catholic Primary School - 103437,Anglesey Primary School - 132074,Adderley Primary School - 103159,Prince Albert Junior and Infant School - 142230,Mansfield Green E-ACT Academy - 138998,The Oratory Roman Catholic Primary School - 103427,Wyndcliffe Primary School - 141319,Christ Church CofE Controlled Primary School and Nursery - 103397,St George's School Edgbaston - 103564,Heath Mount Primary School - 103333,St Clement's Church of England Academy - 138432,The Lambs Christian School - 134091,St George's Church of England Primary School - 139267,The Wisdom Academy - 135882,St Patrick's Catholic Primary School - 103439,Manor Park Primary Academy - 141977,St Saviour's C of E Primary School - 103406,Al-Hijrah School - 133306,Iqra Girls High School - 145186,Ladypool Primary School - 103265,Heathfield Primary School - 142231,Hallfield School - 103568,Barford Primary School - 103162,Priory School - 103566,Holte School - 103509,Hazrat Khadijatul Kubra Girls School - 136123,Birmingham Independent College - 143418,Heritage Academy - 147038,King Edward VI Aston School - 137043,Mander Portman Woodward Independent College - 103587,Orion School - 147234,Future First Independent School - 135422,Green Heath School - 135688,R.Y.A.N Education Academy - 139706,Hopwood Hall School - 146780,Holy Trinity Catholic School - 103538,Holy Trinity Catholic School - 144719,Bordesley Green Girls' School & Sixth Form - 103493,Birchfield Independent Girls' School - 103591,Al Huda Girls' School - 103595,Small Heath Leadership Academy - 144464,Redstone Academy for Girls - 148157,Redstone  Academy for Boys - 137560,BOA Stage and Screen Production Academy - 148635,Joseph Chamberlain Sixth Form College - 130468,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,103619,138883,103440,103575,138410,103437,132074,103159,142230,138998,103427,141319,103397,103564,103333,138432,134091,139267,135882,103439,141977,103406,133306,145186,103265,142231,103568,103162,103566,103509,136123,143418,147038,137043,103587,147234,135422,135688,139706,146780,103538,144719,103493,103591,103595,144464,148157,137560,148635,130468,,,School unique reference number
2,L,LANAME,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Local authority name
3,L,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,,Local authority number
4,L,ESTAB,7040,2071,3347,6059,2057,3342,2479,2010,2003,2075,3323,2146,3002,6000,2313,2059,6105,2120,6206,3346,2162,3019,4334,6035,2189,2309,6004,2014,6002,4223,6170,6032,6052,5408,6079,6061,6121,6205,6014,6045,4664,4026,4115,6083,6088,4025,6136,6009,4043,8600,,,Establishment number
5,L,LAESTAB,3307040,3302071,3303347,3306059,3302057,3303342,3302479,3302010,3302003,3302075,3303323,3302146,3303002,3306000,3302313,3302059,3306105,3302120,3306206,3303346,3302162,3303019,3304334,3306035,3302189,3302309,3306004,3302014,3306002,3304223,3306170,3306032,3306052,3305408,3306079,3306061,3306121,3306205,3306014,3306045,3304664,3304026,3304115,3306083,3306088,3304025,3306136,3306009,3304043,3308600,,,DfE number
6,L,SCHNAME,Mayfield School,St John's & St Peter's CofE Academy,St Edmund's Catholic Primary School,West House School,Percy Shurmer Academy,St Francis Catholic Primary School,Anglesey Primary School,Adderley Primary School,Prince Albert Junior and Infant School,Mansfield Green E-ACT Academy,The Oratory Roman Catholic Primary School,Wyndcliffe Primary School,Christ Church CofE Controlled Primary School and Nursery,St George's School Edgbaston,Heath Mount Primary School,St Clement's Church of England Academy,The Lambs Christian School,St George's Church of England Primary School,The Wisdom Academy,St Patrick's Catholic Primary School,Manor Park Primary Academy,St Saviour's C of E Primary School,Al-Hijrah School,Iqra Girls High School,Ladypool Primary School,Heathfield Primary School,Hallfield School,Barford Primary School,Priory School,Holte School,Hazrat Khadijatul Kubra Girls School,Birmingham Independent College,Heritage Academy,King Edward VI Aston School,Mander Portman Woodward Independent College,Orion School,Future First Independent School,Green Heath School,R.Y.A.N Education Academy,Hopwood Hall School,Holy Trinity Catholic School,Holy Trinity Catholic School,Bordesley Green Girls' School & Sixth Form,Birchfield Independent Girls' School,Al Huda Girls' School,Small Heath Leadership Academy,Redstone Academy for Girls,Redstone  Academy for Boys,BOA Stage and Screen Production Academy,Joseph Chamberlain Sixth Form College,,,School name
7,L,STREET,Wheeler Street,St Vincent Street West,Rosebery Street,24 St James's Road,Longmore Street,Nursery Road,Anglesey Street,Arden Road,Albert Road,Albert Road,Oliver Road,Little Green Lane,Claremont Road,31 Calthorpe Road,Knutsford Street,Butlin Street,113 Soho Hill,Beaufort Road,Sycamore Road,Dudley Road,Church Lane,Alum Rock Road,Burbidge Road,221 Edward Rd,Stratford Road,Heathfield Road,48 Church Road,Barford Road,Sir Harrys Road,Wheeler Street,18 Dixon Road,Albert Hall,327 Moseley Road,Frederick Road,17 - 18 Greenfield Crescent,14246,Hockley Port. All Saints Street,Oakwood House,C/O Concord Youth Centre,15 Highfield Road,Oakley Road,Oakley Road,Bordesley Green Road,30 Beacon Hill,74-76 Washwood Heath Road,Muntz Street,466 Moseley Road,466 Moseley Road,49 Stour Street,Belgrave Road,,,School address (1)
8,L,LOCALITY,Lozells,Ladywood,Springhill,Edgbaston,Balsall Heath,Handsworth,,Saltley,Aston,Aston,Ladywood,Bordesley Green,Sparkbrook,Edgbaston,Balsall Heath,Nechells,,,Aston,,Aston,Saltley,Bordesley Green,Birmingham,Sparkbrook,,Edgbaston,Ladywood,Edgbaston,Lozells,Small Heath,Witton Road,,Aston,Edgbaston,Western Road,Hockley,43-51 Whitmore Road,Claremont Road,Edgbaston,Small Heath,Small Heath,,,Saltley,Small Heath,,,,Highgate,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,,Birmingham,,,Hockley,Edgbaston,Birmingham,,,,,,,,,,,,,Aston,,,,Hockley,,Small Heath,Sparkbrook,Birmingham,,,,Aston,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,BIRMINGHAM,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,,,School town
