No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,140733,103981,141206,104103,148090,103345,104060,135139,131212,103955,148092,104104,103908,104079,104132,104133,140923,134279,141501,104050,103924,146434,104170,104150,104053,139014,103945,103946,148093,104107,139269,143051,148722,137697,131735,131591,137797,146358,146379,137053,137008,137231,143895,142900,139918,135979,148684,103499,148400,104019,,,School unique reference number
2,L,LANAME,Solihull,Sandwell,Birmingham,Solihull,Solihull,Birmingham,Solihull,Solihull,Sandwell,Sandwell,Solihull,Solihull,Sandwell,Solihull,Solihull,Solihull,Solihull,Birmingham,Sandwell,Solihull,Sandwell,Sandwell,Walsall,Walsall,Solihull,Birmingham,Sandwell,Sandwell,Solihull,Solihull,Birmingham,Solihull,Birmingham,Worcestershire,Sandwell,Sandwell,Walsall,Sandwell,Solihull,Birmingham,Solihull,Solihull,Solihull,Solihull,Sandwell,Sandwell,Birmingham,Birmingham,Sandwell,Sandwell,,,Local authority name
3,L,LA,334,333,330,334,334,330,334,334,333,333,334,334,333,334,334,334,334,330,333,334,333,333,335,335,334,330,333,333,334,334,330,334,330,885,333,333,335,333,334,330,334,334,334,334,333,333,330,330,333,333,,,Local authority number
4,L,ESTAB,2081,2176,2145,3510,3510,2406,2051,3517,2183,2146,3511,3511,2046,2090,7005,7007,2094,2019,6007,2019,2074,2011,2043,2012,2026,2100,2127,2128,3516,3516,2121,2003,7005,2915,2187,2186,5201,2009,4003,4331,4019,4018,4037,4001,4002,6910,4187,4187,7000,4500,,,Establishment number
5,L,LAESTAB,3342081,3332176,3302145,3343510,3343510,3302406,3342051,3343517,3332183,3332146,3343511,3343511,3332046,3342090,3347005,3347007,3342094,3302019,3336007,3342019,3332074,3332011,3352043,3352012,3342026,3302100,3332127,3332128,3343516,3343516,3302121,3342003,3307005,8852915,3332187,3332186,3355201,3332009,3344003,3304331,3344019,3344018,3344037,3344001,3334002,3336910,3304187,3304187,3337000,3334500,,,DfE number
6,L,SCHNAME,Marston Green Infant Academy,Blackheath Primary School,Town Junior School,St Anthony's Catholic Primary School,St Anthony's Catholic Primary School,Minworth Junior and Infant School,Marston Green Junior School,Kingshurst Primary School,The Priory Primary School,Rowley Hall Primary School,St Anne's Catholic Primary School,St Anne's Catholic Primary School,Moorlands Primary School,Greswold Primary School,Forest Oak School,Merstone School,Smith's Wood Primary Academy,West Heath Primary School,Homeschool,Shirley Heath Junior School,Newtown Primary School,Newtown Primary School,Delves Junior School,Delves Infant School,Woodlands Infant School,Merritts Brook Primary E-ACT Academy,Grace Mary Primary School,Highfields Primary School,St John the Baptist Catholic Primary School,St John the Baptist Catholic Primary School,Hawkesley Church Primary Academy,Damson Wood Nursery and Infant School,Lea Hall Academy,Coppice Primary School,Tameside Primary School,Harvills Hawthorn Primary School,Park Hall Junior Academy,Tameside Primary Academy,Tudor Grange Academy Kingshurst,Plantsbrook School,Lode Heath School,Light Hall School,Smith's Wood Academy,WMG Academy for Young Engineers (Solihull),Wodensborough Ormiston Academy,Ormiston Sandwell Community Academy,King Edward VI Northfield School for Girls,Turves Green Girls' School,High Point Academy,St Michael's Church of England High School,,,School name
7,L,STREET,Elm Farm Avenue,Blackheath Primary School Britannia Road,Ebrook Road,Fordbridge Road,Fordbridge Road,Water Orton Lane,Station Road,School Close,Dorsett Road,Windsor Road,Bosworth Drive,Bosworth Drive,Winchester Road,Buryfield Road,Windward Way,Windward Way,Burton's Way,Rednal Road,49 Manifold Way,Coombe Road,Anne Close,Anne Close,Bell Lane,Botany Road,Woodlands Lane,Trescott Road,Hawfield Road,Beeches Road,Arran Way,Arran Way,376 Shannon Road,Stockwell Rise,Hallmoor Road,Shawhurst Lane,Price Road,Wolseley Road,Park Hall Road,Price Road,Cooks Lane,Upper Holland Road,Lode Lane,Hathaway Road,Windward Way,Chelmsley Road,Hydes Road,Lower City Road,Turves Green,Turves Green,Friar Park Road,Curral Road,,,School address (1)
8,L,LOCALITY,Marston Green,,,Kingshurst,Kingshurst,Minworth,Marston Green,Kingshurst,Friar Park,Sandwell,Chelmsley Wood,Chelmsley Wood,,,Smith's Wood,Smith's Wood,Smith's Wood,West Heath Primary,Sandwell,Shirley,Off Dunkirk Avenue,Off Dunkirk Avenue,Delves,Delves,Shirley,Northfield,Tividale,,Chelmsley Wood,Chelmsley Wood,Kings Norton,,,Hollywood,,Hill Top,,,Solihull,,,Shirley,Smith's Wood,Chelmsley Wood,,,Northfield,Northfield,,,,,School address (2)
9,L,ADDRESS3,,,,,,"Minworth Junior & Infant School, Water Orton Lane, Minworth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Rowley Regis,Sutton Coldfield,Birmingham,Birmingham,SUTTON COLDFIELD,Birmingham,Birmingham,Wednesbury,Rowley Regis,Birmingham,Birmingham,West Bromwich,Solihull,Birmingham,Birmingham,Birmingham,Birmingham,Wednesbury,Solihull,West Bromwich,West Bromwich,Walsall,Walsall,Solihull,Birmingham,Oldbury,Rowley Regis,Birmingham,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Wednesbury,West Bromwich,Walsall,Wednesbury,Birmingham,Sutton Coldfield,Solihull,Solihull,Birmingham,Birmingham,Wednesbury,Oldbury,Birmingham,Birmingham,Wednesbury,Rowley Regis,,,School town
11,L,POSTCODE,B37 7AA,B65 9NF,B72 1NX,B37 6LW,B37 6LW,B76 9BU,B37 7BA,B37 6BN,WS10 0JG,B65 9HU,B37 5DP,B37 5DP,B71 2NZ,B91 2AZ,B36 0UE,B36 0UE,B36 0SZ,B38 8HU,WS10 0GB,B90 3DS,B70 0ES,B70 0ES,WS5 4PU,WS5 4PU,B90 2PX,B31 5QD,B69 1LD,B65 0DA,B36 0QE,B36 0QE,B38 9TR,B92 9LX,B33 9QY,B47 5JN,WS10 0EZ,B70 0NG,WS5 3HF,WS10 0EZ,B37 6NU,B72 1RB,B91 2HW,B90 2PZ,B36 0UE,B37 5FD,WS10 0DR,B69 2HE,B31 4BP,B31 4BP,WS10 0JS,B65 9AN,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,01-04-2021,,,,,,01-04-2021,,,,,,,,,,,01-04-2020,,,,,,,01-04-2021,,,,01-09-2021,,,,,01-10-2018,,,,,,,,,01-09-2021,,01-09-2021,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,31-03-2021,,,,,,,,31-03-2021,,,,,,,,,31-03-2020,,,,,,,,,31-03-2021,,,,,30-09-2018,,,,,,,,,,,,,31-08-2021,,,,,Date the school closed
