No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,104070,136303,104122,144390,132233,140525,103296,104098,148085,103950,142355,104241,104127,104041,131672,125620,103452,148266,148364,104211,104042,143195,133261,104210,103910,137972,104054,147364,104058,133720,148087,104100,140528,103936,132140,136924,103500,148521,137988,136994,145417,136908,144721,103522,137830,136310,148094,104119,130481,130476,,,School unique reference number
2,L,LANAME,Solihull,Walsall,Solihull,Birmingham,Sandwell,Birmingham,Birmingham,Solihull,Solihull,Sandwell,Dudley,Walsall,Solihull,Solihull,Birmingham,Warwickshire,Birmingham,Birmingham,Walsall,Walsall,Solihull,Dudley,Sandwell,Walsall,Sandwell,Sandwell,Solihull,Solihull,Solihull,Solihull,Solihull,Solihull,Birmingham,Sandwell,Sandwell,Worcestershire,Birmingham,Birmingham,Birmingham,Solihull,Birmingham,Birmingham,Birmingham,Birmingham,Walsall,Solihull,Solihull,Solihull,Solihull,Dudley,,,Local authority name
3,L,LA,334,335,334,330,333,330,330,334,334,333,332,335,334,334,330,937,330,330,335,335,334,332,333,335,333,333,334,334,334,334,334,334,330,333,333,885,330,330,330,334,330,330,330,330,335,334,334,334,334,332,,,Local authority number
4,L,ESTAB,2065,5200,6000,2175,7019,3402,2246,3500,3500,2136,2139,3324,6007,2004,2474,2618,3360,3360,2234,2234,2005,2104,3007,5202,2048,2045,2028,2033,2033,2098,3502,3502,3401,2112,2189,4017,4188,4040,4660,4015,6036,5410,4027,4301,4007,4014,4650,4650,8000,8001,,,Establishment number
5,L,LAESTAB,3342065,3355200,3346000,3302175,3337019,3303402,3302246,3343500,3343500,3332136,3322139,3353324,3346007,3342004,3302474,9372618,3303360,3303360,3352234,3352234,3342005,3322104,3333007,3355202,3332048,3332045,3342028,3342033,3342033,3342098,3343502,3343502,3303401,3332112,3332189,8854017,3304188,3304040,3304660,3344015,3306036,3305410,3304027,3304301,3354007,3344014,3344650,3344650,3348000,3328001,,,DfE number
6,L,SCHNAME,Coleshill Heath School,Park Hall Infant Academy,Eversfield Preparatory School,Turves Green Primary School,The Westminster School,Holy Cross Catholic Primary School,The Meadows Primary School,Our Lady of the Wayside Catholic Primary School,Our Lady of the Wayside Catholic Primary School,Oakham Primary School,Manor Way Primary Academy,"St Anne's Catholic Primary School, Streetly",Ruckleigh School,Coppice Junior School,Hollyfield Primary School,Water Orton Primary School,St John Fisher Catholic Primary School,St John Fisher Catholic Primary School,Blackwood School,Blackwood School,Cranmore Infant School,Tenterfields Primary Academy,Tividale Community Primary School,Manor Primary School,Park Hill Primary School,Mesty Croft Primary,Widney Junior School,Tudor Grange Primary Academy Yew Tree,Yew Tree Primary School,Dickens Heath Community Primary School,St Augustine's Catholic Primary School,St Augustine's Catholic Primary School,St Joseph's Catholic Primary School,Brickhouse Primary School,Springfield Primary School,Woodrush High School,Turves Green Boys' School,Turves Green Boys' School,Bishop Vesey's Grammar School,Alderbrook School,New Ways School,Fairfax,John Willmott School,John Willmott School,Joseph Leckie Academy,"Tudor Grange Academy, Solihull",St Peter's Catholic School,St Peter's Catholic School,Solihull College & University Centre,Halesowen College,,,School name
7,L,STREET,Lime Grove,Park Hall Road,Warwick Road,Northfield,Hawes Lane,Laburnum Drive,Bristol Road South,Stratford Road,Stratford Road,Darbys Hill Road,Brier Mill Road,Blackwood Road,17 Lode Lane,Coppice Road,Hollyfield Road,Plank Lane,Alvechurch Road,Alvechurch Road,Blackwood Road,Blackwood Road,Northland Road,Tenterfields,Dudley Road West,Briar Avenue,Coronation Road,St Luke's Road,Clifton Crescent,Wherretts Well Lane,Wherretts Well Lane,Three Acres Lane,Whitefields Road,Whitefields Road,Little Sutton Lane,Dudhill Road,Dudley Road,Shawhurst Lane,Turves Green,Turves Green,Lichfield Road,Blossomfield Road,300 Redhill road,Fairfax Road,Reddicap Heath Road,Reddicap Heath Road,Walstead Road West,Dingle Lane,Whitefields Road,Whitefields Road,Blossomfield Campus,Whittingham Road,,,School address (1)
8,L,LOCALITY,Chelmsley Wood,,,,,Walmley,Northfield,Shirley,Shirley,Tividale,,Streetly,,,,Water Orton,West Heath,West Heath,Streetly,Streetly,Shirley,,Tividale,Streetly,,,,,,Dickens Heath,,,,,,,Northfield,Northfield,,,Kings Norton,,,,,,,,Blossomfield Road,,,,School address (2)
9,L,ADDRESS3,,,,,,,"Bristol Road South, Northfield",,,,,,,,,,,,Blackwood Road,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Walsall,Solihull,Birmingham,Rowley Regis,Sutton Coldfield,Birmingham,Solihull,Solihull,Oldbury,Halesowen,Sutton Coldfield,Solihull,Solihull,Sutton Coldfield,Birmingham,Birmingham,Birmingham,Sutton Coldfield,Sutton Coldfield,Solihull,HALESOWEN,Oldbury,Sutton Coldfield,Wednesbury,Wednesbury,Solihull,Solihull,Solihull,Solihull,Solihull,Solihull,Sutton Coldfield,Rowley Regis,Rowley Regis,Wythall,Birmingham,Birmingham,Sutton Coldfield,Solihull,,Sutton Coldfield,Sutton Coldfield,Sutton Coldfield,Walsall,Solihull,Solihull,Solihull,Solihull,Halesowen,,,School town
