No,Namespace,Variable,Forestdale Primary School - 133759,Bishop Wilson Church of England Primary School - 104105,Whitehall Junior Community School - 104162,Albert Bradbeer Primary Academy - 140889,Solihull School - 104124,Whitehouse Common Primary School - 132007,St John's Church of England Primary Academy - 140856,Great Bridge Primary School - 103915,Newfield Park Primary School - 103815,Temple Meadow Primary School - 103957,St Alphege Church of England Infant and Nursery School - 104090,Halesowen CofE Primary School - 103847,Windy Arbor Primary School - 104071,Whitehall Nursery and Infant School - 104163,Tividale Hall Primary School - 103960,Burnt Tree Primary School - 103914,Cofton Primary School - 103315,Palfrey Girls School - 104267,St Mary's The Mount Catholic Primary School - 104232,St Alphege Church of England Junior School - 104092,Tidbury Green School - 104065,St Martin's CofE Primary School - 103987,Our Lady and St Kenelm RC School - 103850,Old Hill Primary School - 103952,Coppice Primary School - 103390,St Columba's Catholic Primary School - 141669,Mayfield Preparatory School - 104265,Langley School - 103630,Saint Martin's School - 104123,Palfrey Junior School - 104160,St Mary's Catholic Primary School - 103993,St Mary's Catholic Primary School - 147795,Wood Green Junior School - 103913,Palfrey Infant School - 104161,New Hall Primary School - 103395,Caldmore Primary Academy - 143904,Reddal Hill Primary School - 103954,The Earls High School - 137812,Dudley Port School - 147736,Ormiston Forge Academy - 137673,Abu Bakr Boys School - 135483,Queen Mary's Grammar School - 136773,Wood Green Academy - 136616,Windsor High School and Sixth Form - 136618,Stuart Bathurst Catholic High School - 147881,Impact Independent School - 141560,Stuart Bathurst Catholic High School - 104020,The ACE Academy - 139328,Q3 Academy Tipton - 146383,Solihull Sixth Form College - 144887,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,133759,104105,104162,140889,104124,132007,140856,103915,103815,103957,104090,103847,104071,104163,103960,103914,103315,104267,104232,104092,104065,103987,103850,103952,103390,141669,104265,103630,104123,104160,103993,147795,103913,104161,103395,143904,103954,137812,147736,137673,135483,136773,136616,136618,147881,141560,104020,139328,146383,144887,,,School unique reference number
2,L,LANAME,Birmingham,Solihull,Walsall,Birmingham,Solihull,Birmingham,Sandwell,Sandwell,Dudley,Sandwell,Solihull,Dudley,Solihull,Walsall,Sandwell,Sandwell,Birmingham,Walsall,Walsall,Solihull,Solihull,Sandwell,Dudley,Sandwell,Birmingham,Birmingham,Walsall,Birmingham,Solihull,Walsall,Sandwell,Sandwell,Sandwell,Walsall,Birmingham,Walsall,Sandwell,Dudley,Sandwell,Sandwell,Walsall,Walsall,Sandwell,Dudley,Sandwell,Dudley,Sandwell,Sandwell,Sandwell,Solihull,,,Local authority name
3,L,LA,330,334,335,330,334,330,333,333,332,333,334,332,334,335,333,333,330,335,335,334,334,333,332,333,330,330,335,330,334,335,333,333,333,335,330,335,333,332,333,333,335,335,333,332,333,332,333,333,333,334,,,Local authority number
4,L,ESTAB,2486,3512,2031,3433,6003,2478,2006,2056,2138,2148,3302,3352,2066,2032,2151,2054,2289,6008,3302,3305,2058,3003,3357,2138,2464,2154,6000,7060,6002,2028,3305,3305,2051,2030,2469,2123,2141,4106,6016,4000,6013,5404,4024,5404,4008,6010,4600,4001,4006,8600,,,Establishment number
5,L,LAESTAB,3302486,3343512,3352031,3303433,3346003,3302478,3332006,3332056,3322138,3332148,3343302,3323352,3342066,3352032,3332151,3332054,3302289,3356008,3353302,3343305,3342058,3333003,3323357,3332138,3302464,3302154,3356000,3307060,3346002,3352028,3333305,3333305,3332051,3352030,3302469,3352123,3332141,3324106,3336016,3334000,3356013,3355404,3334024,3325404,3334008,3326010,3334600,3334001,3334006,3348600,,,DfE number
6,L,SCHNAME,Forestdale Primary School,Bishop Wilson Church of England Primary School,Whitehall Junior Community School,Albert Bradbeer Primary Academy,Solihull School,Whitehouse Common Primary School,St John's Church of England Primary Academy,Great Bridge Primary School,Newfield Park Primary School,Temple Meadow Primary School,St Alphege Church of England Infant and Nursery School,Halesowen CofE Primary School,Windy Arbor Primary School,Whitehall Nursery and Infant School,Tividale Hall Primary School,Burnt Tree Primary School,Cofton Primary School,Palfrey Girls School,St Mary's The Mount Catholic Primary School,St Alphege Church of England Junior School,Tidbury Green School,St Martin's CofE Primary School,Our Lady and St Kenelm RC School,Old Hill Primary School,Coppice Primary School,St Columba's Catholic Primary School,Mayfield Preparatory School,Langley School,Saint Martin's School,Palfrey Junior School,St Mary's Catholic Primary School,St Mary's Catholic Primary School,Wood Green Junior School,Palfrey Infant School,New Hall Primary School,Caldmore Primary Academy,Reddal Hill Primary School,The Earls High School,Dudley Port School,Ormiston Forge Academy,Abu Bakr Boys School,Queen Mary's Grammar School,Wood Green Academy,Windsor High School and Sixth Form,Stuart Bathurst Catholic High School,Impact Independent School,Stuart Bathurst Catholic High School,The ACE Academy,Q3 Academy Tipton,Solihull Sixth Form College,,,School name
7,L,STREET,Wareham Road,10 Craig Croft,Delves Road,Turves Green,Warwick Road,Cotysmore Road,Addison Terrace,Mount Street,Whittingham Road,Wrights Lane,New Road,High Street,Woodlands Way,West Bromwich Road,Regent Road,Hill Road,Wootton Road,72 Queen Mary Street,Jesson Road,Widney Manor Road,Dickens Heath Road,Lower Church Lane,Bundle Hill,Lawrence Lane,Trinity Road,Lickey Road,Sutton Road,Trinity Road,Malvern Hall,Dale Street,Manor House Road,Manor House Road,Hobs Road,Bescot Street,Langley Hall Drive,Carless Street,Trinity Street,Furnace Lane,Dudley Port School,Wrights Lane,72 Queen Mary Street,Sutton Road,Wood Green Road,Richmond Street,Wood Green Road,240 Halesowen Road,Wood Green Road,Alexandra Road,Alexandra Road,Widney Manor Road,,,School address (1)
8,L,LOCALITY,Frankley,Chelmund's Cross,,Longbridge,,,,Great Bridge,,,,,Chelmsley Wood,,Tividale,Tividale,West Heath,Palfrey,,,Tidbury Green,,,,Four Oaks,Rednal,WALSALL,,Brueton Avenue,,,,,,,,,,station drive,,,,,,,,,,,,,,School address (2)
9,L,ADDRESS3,,Chelmsley Wood,,,,,,Great Bridge Junior & Infant School,,,,,,,,,,,,,,,,,,,West Midlands,,,,,,,,New Hall Primary School,,,,tipton,,,,,,,,,,,,,,School address (3)
10,L,TOWN,Birmingham,Birmingham,Walsall,Birmingham,Solihull,Sutton Coldfield,Wednesbury,Tipton,Halesowen,Cradley Heath,Solihull,Halesowen,Birmingham,Walsall,Oldbury,Oldbury,Birmingham,Walsall,Walsall,Solihull,Solihull,Tipton,Halesowen,Cradley Heath,Sutton Coldfield,Birmingham,,Sutton Coldfield,Solihull,Walsall,Wednesbury,Wednesbury,Wednesbury,Walsall,Sutton Coldfield,Walsall,Cradley Heath,Halesowen,Dudley Port,Cradley Heath,Walsall,Walsall,Wednesbury,Halesowen,Wednesbury,Cradley Heath,Wednesbury,Tipton,Tipton,Solihull,,,School town
