No,Namespace,Variable,Sacred Heart Primary School - 135029,Albert Pritchard Infant School - 103906,Ocker Hill Infant School - 103919,Ocker Hill Academy - 140140,Meadow Green Primary School - 116763,Colmers Farm Primary School - 146696,Colmers Farm Primary School - 103187,Holly Hill Methodist CofE Infant School - 103479,Joseph Turner Primary School - 103970,Curdworth Primary School - 146457,Curdworth Primary School - 125583,Blue Coat Church of England Aided Infant School - 104231,St Margaret's At Hasbury CofE Primary School - 103840,Blue Coat Church of England Aided Junior School - 104230,Compass Community School Victoria Park - 148064,Abu Bakr Girls School - 132750,Holyhead Primary Academy - 144630,Hillary Primary School - 131511,Timbertree Academy - 139768,Jubilee Park Academy - 140136,Kates Hill Primary School - 144080,Corngreaves Academy - 139742,Chuckery Primary School - 132076,Sledmere Primary School - 149221,Beechwood Church of England Primary School - 142047,Sledmere Primary School - 144081,Netherbrook Primary School - 144079,Huntingtree Primary School - 103802,Old Park Primary School - 103909,St Joseph's Catholic Primary School - 140147,Summerhill Primary Academy - 143322,Mere Green Primary School - 139452,Rednal Hill Junior School - 103248,Rednal Hill Infant School - 103249,Moor Hall Primary School - 103351,Whetstone Field Primary School - 104198,Cheswick Green Primary School - 104074,High Meadow Community School - 125584,Monkspath Junior and Infant School - 104084,Coleshill Church of England Primary School - 146171,Tipton Green Junior School - 103928,Balaam Wood School - 103529,King Edward VI Balaam Wood Academy - 147440,Al-Furqan Solihul - 103592,Al-Furqan Community College (Boys) - 136063,Colmers School and Sixth Form College - 103563,Blue Coat Church of England Academy - 138606,The Arthur Terry School - 138136,Walsall Studio School - 139789,The Coleshill School - 136986,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,135029,103906,103919,140140,116763,146696,103187,103479,103970,146457,125583,104231,103840,104230,148064,132750,144630,131511,139768,140136,144080,139742,132076,149221,142047,144081,144079,103802,103909,140147,143322,139452,103248,103249,103351,104198,104074,125584,104084,146171,103928,103529,147440,103592,136063,103563,138606,138136,139789,136986,,,School unique reference number
2,L,LANAME,Sandwell,Sandwell,Sandwell,Sandwell,Worcestershire,Birmingham,Birmingham,Birmingham,Sandwell,Warwickshire,Warwickshire,Walsall,Dudley,Walsall,Sandwell,Walsall,Sandwell,Walsall,Sandwell,Sandwell,Dudley,Sandwell,Walsall,Dudley,Dudley,Dudley,Dudley,Dudley,Sandwell,Dudley,Sandwell,Birmingham,Birmingham,Birmingham,Birmingham,Walsall,Solihull,Warwickshire,Solihull,Warwickshire,Sandwell,Birmingham,Birmingham,Solihull,Solihull,Birmingham,Walsall,Birmingham,Walsall,Warwickshire,,,Local authority name
3,L,LA,333,333,333,333,885,330,330,330,333,937,937,335,332,335,333,335,333,335,333,333,332,333,335,332,332,332,332,332,333,332,333,330,330,330,330,335,334,937,334,937,333,330,330,334,334,330,335,330,335,937,,,Local authority number
4,L,ESTAB,3406,2042,2060,2061,2188,2052,2052,3411,2164,2502,2502,3301,3052,3300,6017,6010,2007,2246,2158,2057,2010,2118,2250,2015,2003,2004,2147,2116,2047,3302,3407,2463,2160,2161,2416,2214,2082,2569,2096,3586,2082,4333,4036,6084,6029,5416,4004,4307,4005,4233,,,Establishment number
5,L,LAESTAB,3333406,3332042,3332060,3332061,8852188,3302052,3302052,3303411,3332164,9372502,9372502,3353301,3323052,3353300,3336017,3356010,3332007,3352246,3332158,3332057,3322010,3332118,3352250,3322015,3322003,3322004,3322147,3322116,3332047,3323302,3333407,3302463,3302160,3302161,3302416,3352214,3342082,9372569,3342096,9373586,3332082,3304333,3304036,3346084,3346029,3305416,3354004,3304307,3354005,9374233,,,DfE number
6,L,SCHNAME,Sacred Heart Primary School,Albert Pritchard Infant School,Ocker Hill Infant School,Ocker Hill Academy,Meadow Green Primary School,Colmers Farm Primary School,Colmers Farm Primary School,Holly Hill Methodist CofE Infant School,Joseph Turner Primary School,Curdworth Primary School,Curdworth Primary School,Blue Coat Church of England Aided Infant School,St Margaret's At Hasbury CofE Primary School,Blue Coat Church of England Aided Junior School,Compass Community School Victoria Park,Abu Bakr Girls School,Holyhead Primary Academy,Hillary Primary School,Timbertree Academy,Jubilee Park Academy,Kates Hill Primary School,Corngreaves Academy,Chuckery Primary School,Sledmere Primary School,Beechwood Church of England Primary School,Sledmere Primary School,Netherbrook Primary School,Huntingtree Primary School,Old Park Primary School,St Joseph's Catholic Primary School,Summerhill Primary Academy,Mere Green Primary School,Rednal Hill Junior School,Rednal Hill Infant School,Moor Hall Primary School,Whetstone Field Primary School,Cheswick Green Primary School,High Meadow Community School,Monkspath Junior and Infant School,Coleshill Church of England Primary School,Tipton Green Junior School,Balaam Wood School,King Edward VI Balaam Wood Academy,Al-Furqan Solihul,Al-Furqan Community College (Boys),Colmers School and Sixth Form College,Blue Coat Church of England Academy,The Arthur Terry School,Walsall Studio School,The Coleshill School,,,School name
7,L,STREET,Sedgley Road East,Crew Road,Gospel Oak Road,Gospel Oak Road,Meadow Road,Leybrook Road,Leybrook Road,New Street,Powis Avenue,Farthing Lane,Farthing Lane,Hanch Place,Hagley Road,Springhill Road,Victoria Road,154- 160 Wednesbury Road,Holyhead Road,Hillary Street,Valley Road,Highfield Road,Peel Street,Plant Street,Lincoln Road,The School Drive,Beechwood Road,The School Drive,Chester Road,Huntingtree Road,Old Park Road,Hillcrest Road,Upper Church Lane,Mere Green Road,Irwin Avenue,Irwin Avenue,Rowallan Road,Beaufort Way,Cheswick Way,High Meadow Community School,Farmhouse Way,Wingfield Road,Manor Road,New Street,New Street,1021 Warwick Road,1021 Warwick Road,Bristol Road South,Birmingham Street,Kittoe Road,14a Lower Hall Lane,Coventry Road,,,School address (1)
8,L,LOCALITY,,,,,Wythall,Rubery,,Rubery,,Curdworth,Curdworth,,Hasbury,,Tipton,Palfrey,,Pleck,,,,,,Off Buffery Road,,Off Buffery Road,Netherton,,,,,,Rednal,Rednal,,Aldridge,Cheswick Green,Norton Road,Shirley,Coleshill,,Frankley,Frankley,,,Rednal,,Four Oaks,The Goldmine Centre,Coleshill,,,School address (2)
9,L,ADDRESS3,,,,,,,,Rednal,,,,,,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
10,L,TOWN,Tipton,Wednesbury,Tipton,Tipton,Birmingham,Birmingham,Birmingham,Birmingham,Tipton,Sutton Coldfield,Sutton Coldfield,Walsall,Halesowen,Walsall,,Walsall,Wednesbury,Walsall,Cradley Heath,Tipton,Dudley,Cradley Heath,Walsall,Dudley,Dudley,Dudley,Dudley,Halesowen,Wednesbury,Dudley,Tipton,Sutton Coldfield,Birmingham,Birmingham,Sutton Coldfield,Walsall,Solihull,Coleshill,Solihull,Birmingham,Tipton,Birmingham,Birmingham,Solihull,Solihull,Birmingham,Walsall,Sutton Coldfield,Walsall,Birmingham,,,School town
