No,Namespace,Variable,Silvertrees Academy - 140792,Reaside Academy - 139002,Northfield Road Primary School - 147155,Northfield Road Primary School - 103775,Hydesville Tower School - 104266,Four Oaks Primary School - 131920,St Edward's Catholic Primary School - 125707,St Edward's Catholic Primary School - 148125,Glebefields Primary School - 103925,St Pauls Church of England Academy - 140921,St James Catholic Primary School - 141820,Kings Hill Primary School - 104179,Woodlands - 145224,St Mary of the Angels Catholic Primary School - 104240,Hill West Primary School - 139520,Dudley Wood Primary School - 144078,Wednesbury Oak Academy - 140793,Salisbury Primary School - 104178,Lutley Primary School - 143783,Cradley CofE Primary School - 103846,Moorcroft Wood Primary School - 135016,Butts Primary School - 104147,St Patricks Church of England Primary Academy - 136320,Colley Lane Primary Academy - 142964,Romsley St Kenelm's CofE Primary School - 116846,West Midlands Education and Skills - 146563,Little Sutton Primary School - 103388,"St Patrick's Catholic Primary School, Walsall - 104233",Emmanuel School - 130323,Birchills Church of England Community Academy - 139435,St Martin's Church of England Primary School - 141825,Cooper and Jordan Church of England Primary School - 132073,Netherton CofE Primary School - 144418,Pinfold Street Primary School - 104176,Blowers Green Primary School - 103771,Blowers Green Primary School - 147708,Beaconside Primary and Nursery School - 116768,Little Aston Primary Academy - 148285,Little Aston Primary School - 124127,Caslon Primary Community  School - 103801,Holywell Primary and Nursery School - 132060,Gospel Oak School - 135599,St Francis of Assisi Catholic College - 104255,Aldridge School - A Science College - 137974,Queen Mary's High School - 136777,The Link Academy - 144952,Bloomfield School - 135518,West Walsall E-ACT Academy - 138374,Walsall College - 130483,Dudley College of Technology - 130475,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,140792,139002,147155,103775,104266,131920,125707,148125,103925,140921,141820,104179,145224,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,146563,103388,104233,130323,139435,141825,132073,144418,104176,103771,147708,116768,148285,124127,103801,132060,135599,104255,137974,136777,144952,135518,138374,130483,130475,,,School unique reference number
2,L,LANAME,Sandwell,Birmingham,Dudley,Dudley,Walsall,Birmingham,Warwickshire,Warwickshire,Sandwell,Sandwell,Birmingham,Walsall,Warwickshire,Walsall,Birmingham,Dudley,Sandwell,Walsall,Dudley,Dudley,Walsall,Walsall,Solihull,Dudley,Worcestershire,Walsall,Birmingham,Walsall,Walsall,Walsall,Wolverhampton,Walsall,Dudley,Walsall,Dudley,Dudley,Worcestershire,Staffordshire,Staffordshire,Dudley,Worcestershire,Sandwell,Walsall,Walsall,Walsall,Dudley,Sandwell,Walsall,Walsall,Dudley,,,Local authority name
3,L,LA,333,330,332,332,335,330,937,937,333,333,330,335,937,335,330,332,333,335,332,332,335,335,334,332,885,335,330,335,335,335,336,335,332,335,332,332,885,860,860,332,885,333,335,335,335,332,333,335,335,332,,,Local authority number
4,L,ESTAB,2062,2080,2011,2012,6007,3435,3503,3503,2075,3004,3358,2106,7047,3323,3429,2005,2076,2105,2120,3350,3327,2006,3313,2102,3097,6044,2462,3304,6009,2015,3022,2249,3053,2103,2000,2000,2197,2277,2277,2112,2921,6909,4606,5405,5403,4003,6004,4003,8001,8000,,,Establishment number
5,L,LAESTAB,3332062,3302080,3322011,3322012,3356007,3303435,9373503,9373503,3332075,3333004,3303358,3352106,9377047,3353323,3303429,3322005,3332076,3352105,3322120,3323350,3353327,3352006,3343313,3322102,8853097,3356044,3302462,3353304,3356009,3352015,3363022,3352249,3323053,3352103,3322000,3322000,8852197,8602277,8602277,3322112,8852921,3336909,3354606,3355405,3355403,3324003,3336004,3354003,3358001,3328000,,,DfE number
6,L,SCHNAME,Silvertrees Academy,Reaside Academy,Northfield Road Primary School,Northfield Road Primary School,Hydesville Tower School,Four Oaks Primary School,St Edward's Catholic Primary School,St Edward's Catholic Primary School,Glebefields Primary School,St Pauls Church of England Academy,St James Catholic Primary School,Kings Hill Primary School,Woodlands,St Mary of the Angels Catholic Primary School,Hill West Primary School,Dudley Wood Primary School,Wednesbury Oak Academy,Salisbury Primary School,Lutley Primary School,Cradley CofE Primary School,Moorcroft Wood Primary School,Butts Primary School,St Patricks Church of England Primary Academy,Colley Lane Primary Academy,Romsley St Kenelm's CofE Primary School,West Midlands Education and Skills,Little Sutton Primary School,"St Patrick's Catholic Primary School, Walsall",Emmanuel School,Birchills Church of England Community Academy,St Martin's Church of England Primary School,Cooper and Jordan Church of England Primary School,Netherton CofE Primary School,Pinfold Street Primary School,Blowers Green Primary School,Blowers Green Primary School,Beaconside Primary and Nursery School,Little Aston Primary Academy,Little Aston Primary School,Caslon Primary Community  School,Holywell Primary and Nursery School,Gospel Oak School,St Francis of Assisi Catholic College,Aldridge School - A Science College,Queen Mary's High School,The Link Academy,Bloomfield School,West Walsall E-ACT Academy,Walsall College,Dudley College of Technology,,,School name
7,L,STREET,Silvertrees Road,Tresco Close,Northfield Road,Northfield Road,"25, Broadway North",Edge Hill Road,Packington Lane,Packington Lane,Sandgate Road,Robert Road,Leach Heath Lane,Old Park Road,Packington Lane,Weston Crescent,Clarence Road,Dudley Wood Road,Greenacre Road,Salisbury Street,Brookwillow Road,Church Road,Bull Lane,Butts Road,Salter Street,Colley Lane,Bromsgrove Road,ST PATRICKS PRESBYTERY,Worcester Lane,Blue Lane East,Afro Caribbean Community Association,Farringdon Street,Wallace Road,The Green,Highbridge Road,Pinfold Street Extension,Blowers Green Road,Blowers Green Road,Hazel Road,Forge Lane,Forge Lane,Beeches View Avenue,School Road,Bilston Road,Erdington Road,Tynings Lane,Upper Forster Street,Simms Lane,178 Bloomfield Road,Primley Avenue,Wisemore Campus,The Broadway,,,School address (1)
8,L,LOCALITY,,Frankley,Netherton,Netherton,Walsall,Four Oaks,Coleshill,Coleshill,,,Rednal,,Coleshill,Aldridge,Four Oaks,,,Darlaston,,Cradley,Bilston,,Earlswood,,Romsley,BLUE LANE EAST,,,36 Wolverhampton Road,,Bradley,Aldridge,Netherton,Darlaston,,,Rubery,Little Aston,Little Aston,,Rubery,Gospel Oak,Aldridge,Aldridge,,Netherton,Tipton,,,,,,School address (2)
9,L,ADDRESS3,,Rubery,,,W. Midlands,,,,,,,,,,,,,,,,,,,,,WALSALL,,,,,,,,,,,Rednal,,,,Rednal,,,,,,West Midlands,,Littleton Street West,,,,School address (3)
10,L,TOWN,Tipton,Birmingham,Dudley,Dudley,,Sutton Coldfield,Birmingham,Birmingham,Tipton,Tipton,Birmingham,Wednesbury,Birmingham,Walsall,Sutton Coldfield,Dudley,Tipton,Wednesbury,Halesowen,Halesowen,Walsall,Walsall,Solihull,Halesowen,Halesowen,,Sutton Coldfield,Walsall,Walsall,Walsall,Bilston,Walsall,Dudley,Wednesbury,Dudley,Dudley,Birmingham,Sutton Coldfield,Sutton Coldfield,Halesowen,Birmingham,Tipton,Walsall,Walsall,Walsall,Dudley,Tipton,Walsall,Walsall,Dudley,,,School town
