No,Namespace,Variable,Old Church Church of England C Primary School - 104224,Alumwell Junior School - 104142,Alumwell Infant School - 104143,Foxyards Primary School - 148182,Foxyards Primary School - 103788,Croft Academy - 138420,Wallbrook Primary Academy - 147721,Wallbrook Primary School - 103783,Reedswood E-ACT Academy - 138452,Priory Primary School - 145305,Jesson's CofE Primary School (VA) - 103845,"St Joseph's Catholic Primary School, Darlaston - 104235",Quarry Bank Primary School - 103830,Woods Bank Academy - 139305,Bentley Heath Church of England Primary School - 140462,North Walsall Primary Academy - 144499,Wilkinson Primary School - 104325,The Wenlock School - 145563,Christ Church CofE Primary School - 103838,Radleys Primary School - 104207,King Charles Primary School - 104175,Leighswood School - 131433,County Bridge Primary School - 104189,George Fentham Endowed School - 104094,"The Jane Lane School,  A College for Cognition & Learning - 104271",Woodside Primary School and Nursery - 143821,St Thomas of Canterbury Catholic Primary School - 104236,Wollescote Primary School - 103800,Wrens Nest Primary School - 103823,Lickey Hills Primary School and Nursery - 116773,St Andrew's CofE First School - 116865,Mount Pleasant Primary School - 103780,The Island Project School - 135453,Edgar Stammers Primary Academy - 139610,Loxdale Primary School - 104315,Rosewood School - 103882,Crown Meadow First School & Nursery - 116646,Alvechurch CofE Middle School - 143507,Knowle Church of England Primary Academy - 139457,St Mary's RC Primary School - 141489,Bentley West Primary School Additionally Resourced for Hearing Impaired - 104174,St James Academy - 144657,Waseley Hills High School - 138664,Grace Academy Darlaston - 135956,Elmwood School - 135461,Priory Park Community School - 148642,Pegasus Academy - 137390,Sutton School - 103877,Bishop Milner Catholic College - 140126,"St Thomas More Catholic School, Willenhall - 104259",National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,104224,104142,104143,148182,103788,138420,147721,103783,138452,145305,103845,104235,103830,139305,140462,144499,104325,145563,103838,104207,104175,131433,104189,104094,104271,143821,104236,103800,103823,116773,116865,103780,135453,139610,104315,103882,116646,143507,139457,141489,104174,144657,138664,135956,135461,148642,137390,103877,140126,104259,,,School unique reference number
2,L,LANAME,Walsall,Walsall,Walsall,Dudley,Dudley,Walsall,Dudley,Dudley,Walsall,Dudley,Dudley,Walsall,Dudley,Walsall,Solihull,Walsall,Wolverhampton,Dudley,Dudley,Walsall,Walsall,Walsall,Walsall,Solihull,Walsall,Dudley,Walsall,Dudley,Dudley,Worcestershire,Worcestershire,Dudley,Solihull,Walsall,Wolverhampton,Dudley,Worcestershire,Worcestershire,Solihull,Dudley,Walsall,Dudley,Worcestershire,Walsall,Walsall,Dudley,Dudley,Dudley,Dudley,Walsall,,,Local authority name
3,L,LA,335,335,335,332,332,335,332,332,335,332,332,335,332,335,334,335,336,332,332,335,335,335,335,334,335,332,335,332,332,885,885,332,334,335,336,332,885,885,334,332,335,332,885,335,335,332,332,332,332,335,,,Local authority number
4,L,ESTAB,3100,2000,2001,2014,2068,2005,2013,2048,2010,2009,3306,3310,2153,2104,3011,2034,2069,6009,3010,2228,2102,2245,2117,3311,7004,2007,3312,2111,2146,2901,3302,2036,6010,3805,2051,7008,2002,4575,3012,3303,2101,4612,4044,6907,7014,6012,5405,7001,4800,5401,,,Establishment number
5,L,LAESTAB,3353100,3352000,3352001,3322014,3322068,3352005,3322013,3322048,3352010,3322009,3323306,3353310,3322153,3352104,3343011,3352034,3362069,3326009,3323010,3352228,3352102,3352245,3352117,3343311,3357004,3322007,3353312,3322111,3322146,8852901,8853302,3322036,3346010,3353805,3362051,3327008,8852002,8854575,3343012,3323303,3352101,3324612,8854044,3356907,3357014,3326012,3325405,3327001,3324800,3355401,,,DfE number
6,L,SCHNAME,Old Church Church of England C Primary School,Alumwell Junior School,Alumwell Infant School,Foxyards Primary School,Foxyards Primary School,Croft Academy,Wallbrook Primary Academy,Wallbrook Primary School,Reedswood E-ACT Academy,Priory Primary School,Jesson's CofE Primary School (VA),"St Joseph's Catholic Primary School, Darlaston",Quarry Bank Primary School,Woods Bank Academy,Bentley Heath Church of England Primary School,North Walsall Primary Academy,Wilkinson Primary School,The Wenlock School,Christ Church CofE Primary School,Radleys Primary School,King Charles Primary School,Leighswood School,County Bridge Primary School,George Fentham Endowed School,"The Jane Lane School,  A College for Cognition & Learning",Woodside Primary School and Nursery,St Thomas of Canterbury Catholic Primary School,Wollescote Primary School,Wrens Nest Primary School,Lickey Hills Primary School and Nursery,St Andrew's CofE First School,Mount Pleasant Primary School,The Island Project School,Edgar Stammers Primary Academy,Loxdale Primary School,Rosewood School,Crown Meadow First School & Nursery,Alvechurch CofE Middle School,Knowle Church of England Primary Academy,St Mary's RC Primary School,Bentley West Primary School Additionally Resourced for Hearing Impaired,St James Academy,Waseley Hills High School,Grace Academy Darlaston,Elmwood School,Priory Park Community School,Pegasus Academy,Sutton School,Bishop Milner Catholic College,"St Thomas More Catholic School, Willenhall",,,School name
7,L,STREET,School Street,Primley Avenue,Primley Avenue,Foxyards Road,Foxyards Road,Croft Street,Off Bradleys Lane,Off Bradleys Lane,Bentley Drive,Limes Road,School Street,Rough Hay Road,High Street,Rough Hay Road,Widney Close,Derby Street,Walter Road,Fossil View,Church Road,Kings Road,Wilkes Avenue,Broadmeadow,Anson Road,Fentham Road,Churchill Road,Highgate Road,Dartmouth Avenue,Drummond Road,Marigold Crescent,Old Birmingham Road,Hewell Road,Mount Pleasant,Diddington Hall,Harden Road,Dudley Street,Bell Street,Birmingham Road,Birmingham Road,Kixley Lane,Mill Street,Monmouth Road,St James's Road,School Road,Herberts Park Road,King George Crescent,Meadow Road,Scotts Green Close,Scotts Green Close,Bishop Milner Catholic College,Darlaston Lane,,,School address (1)
8,L,LOCALITY,Off Alma Street,,,,,,Coseley,Coseley,,Priory Estate,,Darlaston,Quarry Bank,Darlaston,Bentley Heath,,Bradley,Wrens Hill Road,Coseley,Rushall,Bentley,Aldridge,Bentley,Hampton-in-Arden,Bentley,Woodside,Coalpool,Wollescote,Wrens Nest Estate,Lickey,Barnt Green,Quarry Bank,Diddington Lane,Coalpool,,Coseley,Alvechurch,Alvechurch,Knowle,,Bentley,,Rubery,,Rushall,,,Russells Hall Estate,Burton Road,,,,School address (2)
9,L,ADDRESS3,Darlaston,,,,,,,,,,,,,,,,,Dudley,,,,,,,,,,,,Lickey Hills Primary School,,,,,,,,,,,,,,Darlaston,,,,,,,,,School address (3)
10,L,TOWN,Wednesbury,Walsall,Walsall,Tipton,Tipton,Walsall,Bilston,Bilston,Walsall,Dudley,Dudley,Wednesbury,Brierley Hill,Wednesbury,Solihull,Walsall,Bilston,West Midlands,Bilston,Walsall,Walsall,Walsall,Walsall,Solihull,Walsall,Dudley,Walsall,Stourbridge,Dudley,Lickey,Birmingham,Brierley Hill,Meriden,Walsall,Bilston,Bilston,Birmingham,Birmingham,Solihull,Brierley Hill,Walsall,Dudley,Birmingham,Wednesbury,Walsall,Dudley,Dudley,Dudley,Dudley,Willenhall,,,School town
11,L,POSTCODE,WS10 8DL,WS2 9UP,WS2 9UP,DY4 8BH,DY4 8BH,WS2 8JE,WV14 8YP,WV14 8YP,WS2 8RX,DY1 4AQ,DY1 2AQ,WS10 8HN,DY5 2AD,WS10 8NQ,B93 9AS,WS2 7BH,WV14 8UR,DY1 3SS,WV14 8YB,WS4 1JJ,WS2 0JN,WS9 8HZ,WS2 0DH,B92 0AY,WS2 0JH,DY2 0SN,WS3 1SP,DY9 8YA,DY1 3NX,B45 8EU,B45 8NG,DY5 2YN,CV7 7HQ,WS3 1RQ,WV14 0AU,WV14 8XJ,B48 7TA,B48 7TA,B93 0JE,DY5 2TH,WS2 0EQ,DY1 3JE,B45 9EL,WS10 8QJ,WS4 1EG,DY1 3JY,DY1 2DU,DY1 2DU,DY1 3BY,WV14 7BL,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,"Open, but proposed to close",Open,Open,Open,Open,Open,"Open, but proposed to close",Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,01-01-2021,,,01-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-09-2021,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,31-12-2020,,,31-12-2020,,,,,,,,,,,30-09-2022,,,,,,31-08-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Special school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Special school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Special school,Academy,Maintained school,Special school,Maintained school,Academy,Academy,Academy,Maintained school,Academy,Academy,Academy,Special school,Independent school,Academy,Special school,Academy,Maintained school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Voluntary controlled school,Community school,Community school,Academy sponsor led,Community school,Academy sponsor led,Academy sponsor led,Community school,Academy sponsor led,Academy sponsor led,Voluntary aided school,Voluntary aided school,Community school,Academy converter,Academy converter,Academy sponsor led,Community school,Other independent special school,Voluntary controlled school,Community school,Community school,Community school,Community school,Voluntary aided school,Community special school,Academy sponsor led,Voluntary aided school,Community school,Community school,Community school,Voluntary aided school,Community school,Other independent special school,Academy converter,Community school,Community special school,Community school,Academy converter,Academy converter,Academy converter,Community school,Academy converter,Academy converter,Academy sponsor led,Community special school,Other independent school,Academy converter,Foundation special school,Academy converter,Voluntary aided school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,7,5,3,3,3,4,4,2,3,2,3,2,3,3,3,2,7,3,3,3,2,2,3,7,3,3,3,2,3,5,3,5,3,3,9,3,9,3,4,3,11,11,11,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,11,16,11,11,11,11,11,9,11,20,11,11,16,9,13,11,11,11,16,18,19,16,16,16,16,18,18,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,Does not apply,None,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Church of England,None,Does not apply,None,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,None,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Church of England,Roman Catholic,Does not apply,None,Does not apply,Does not apply,Does not apply,None,None,Does not apply,Roman Catholic,Roman Catholic,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Not applicable,,Non-selective,Not applicable,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,Good,Requires improvement,,Inadequate,Requires improvement,,Inadequate,Good,Requires improvement,Requires improvement,Requires improvement,Good,Requires improvement,Requires improvement,Good,Good,,Good,Good,Good,Good,Good,Outstanding,Requires improvement,Requires improvement,Good,Good,Good,Good,Outstanding,Good,,Requires improvement,Good,Good,Good,Good,Outstanding,Good,Requires improvement,Requires improvement,Requires improvement,Good,Requires improvement,,Requires improvement,Good,Good,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,23-10-2018,24-01-2018,10-11-2021,,16-01-2019,27-04-2022,,09-05-2019,14-10-2021,11-05-2022,01-05-2019,05-06-2019,04-03-2020,02-02-2022,25-09-2019,10-10-2018,20-10-2021,,26-02-2020,29-01-2020,12-02-2020,04-07-2019,08-12-2016,09-04-2014,15-07-2021,15-01-2020,12-12-2019,10-01-2018,10-03-2022,11-12-2018,06-12-2013,28-03-2019,,13-03-2019,26-03-2019,14-02-2017,25-11-2021,29-01-2020,27-03-2012,27-09-2017,02-05-2019,02-03-2022,27-06-2018,27-04-2022,15-11-2018,,19-06-2019,12-09-2018,11-07-2018,06-11-2019,,,Ofsted last inspection date
27,CENSUS_19,URN,104224,104142,104143,,103788,138420,,103783,138452,145305,103845,104235,103830,139305,140462,144499,104325,145563,103838,104207,104175,131433,104189,104094,104271,143821,104236,103800,103823,116773,116865,103780,135453,139610,104315,103882,116646,143507,139457,141489,104174,144657,138664,135956,135461,,137390,103877,140126,104259,,,School Unique Reference Number
28,CENSUS_19,LA,335,335,335,,332,335,,332,335,332,332,335,332,335,334,335,336,332,332,335,335,335,335,334,335,332,335,332,332,885,885,332,334,335,336,332,885,885,334,332,335,332,885,335,335,,332,332,332,335,,,LA number
29,CENSUS_19,ESTAB,3100,2000,2001,,2068,2005,,2048,2010,2009,3306,3310,2153,2104,3011,2034,2069,6009,3010,2228,2102,2245,2117,3311,7004,2007,3312,2111,2146,2901,3302,2036,6010,3805,2051,7008,2002,4575,3012,3303,2101,4612,4044,6907,7014,,5405,7001,4800,5401,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,352,363,270,,355,234,,289,478,661,691,222,372,388,439,240,516,17,588,238,492,620,256,225,157,387,282,426,518,434,225,403,20,353,334,47,335,431,514,205,492,627,719,868,72,,604,156,870,1512,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,178,175,131,,176,106,,124,226,342,323,112,194,189,210,115,255,3,290,114,220,284,125,103,43,196,143,212,248,205,121,187,3,175,164,0,166,203,249,109,232,309,332,444,7,,315,48,455,740,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,174,188,139,,179,128,,165,252,319,368,110,178,199,229,125,261,14,298,124,272,336,131,122,114,191,139,214,270,229,104,216,17,178,170,47,169,228,265,96,260,318,387,424,65,,289,108,415,772,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,50.6,48.2,48.5,,49.6,45.3,,42.9,47.3,51.7,46.7,50.5,52.2,48.7,47.8,47.9,49.4,17.6,49.3,47.9,44.7,45.8,48.8,45.8,27.4,50.6,50.7,49.8,47.9,47.2,53.8,46.4,15,49.6,49.1,0,49.6,47.1,48.4,53.2,47.2,49.3,46.2,51.2,9.7,,52.2,30.8,52.3,48.9,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,49.4,51.8,51.5,,50.4,54.7,,57.1,52.7,48.3,53.3,49.5,47.8,51.3,52.2,52.1,50.6,82.4,50.7,52.1,55.3,54.2,51.2,54.2,72.6,49.4,49.3,50.2,52.1,52.8,46.2,53.6,85,50.4,50.9,100,50.4,52.9,51.6,46.8,52.8,50.7,53.8,48.8,90.3,,47.8,69.2,47.7,51.1,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,1,7,8,,1,1,,4,4,9,12,5,2,5,1,4,0,17,3,4,3,12,5,2,157,6,5,7,5,8,4,4,20,10,5,47,0,2,4,3,16,11,24,10,72,,3,154,13,16,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.3,1.9,3,,0.3,0.4,,1.4,0.8,1.4,1.7,2.3,0.5,1.3,0.2,1.7,0,100,0.5,1.7,0.6,1.9,2,0.9,100,1.6,1.8,1.6,1,1.8,1.8,1,100,2.8,1.5,100,0,0.5,0.8,1.5,3.3,1.8,3.3,1.2,100,,0.5,98.7,1.5,1.1,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,48,38,27,,62,45,,45,73,96,105,26,105,57,30,36,38,0,109,32,68,75,35,23,0,83,67,157,112,69,32,45,0,60,73,0,27,40,51,51,56,113,117,88,0,,93,2,115,108,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,13.6,10.5,10,,17.5,19.2,,15.6,15.3,14.5,15.2,11.7,28.2,14.7,6.8,15,7.4,0,18.5,13.4,13.8,12.1,13.7,10.2,0,21.4,23.8,36.9,21.6,15.9,14.2,11.2,0,17,21.9,0,8.1,9.3,9.9,24.9,11.4,18,16.3,10.1,0,,15.4,1.3,13.2,7.1,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,43,172,130,,18,156,,18,313,113,255,35,18,50,17,139,67,NA,29,4,43,25,60,30,11,91,115,345,45,10,5,25,NA,28,74,1,8,3,19,53,37,199,21,152,3,,173,7,111,405,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,309,191,139,,337,78,,271,165,548,436,187,302,338,422,100,449,NA,559,234,449,595,196,195,146,296,167,81,472,422,220,378,NA,325,260,46,327,428,495,145,455,428,691,711,69,,431,149,754,1107,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,1,,0,0,,0,0,0,0,0,52,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,0,0,0,0,0,0,7,0,0,7,5,0,,0,0,5,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,12.2,47.4,48.1,,5.1,66.7,,6.2,65.5,17.1,36.9,15.8,4.8,12.9,3.9,57.9,13,NA,4.9,1.7,8.7,4,23.4,13.3,7,23.5,40.8,81,8.7,2.3,2.2,6.2,NA,7.9,22.2,2.1,2.4,0.7,3.7,25.9,7.5,31.7,2.9,17.5,4.2,,28.6,4.5,12.8,26.8,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,87.8,52.6,51.5,,94.9,33.3,,93.8,34.5,82.9,63.1,84.2,81.2,87.1,96.1,41.7,87,NA,95.1,98.3,91.3,96,76.6,86.7,93,76.5,59.2,19,91.1,97.2,97.8,93.8,NA,92.1,77.8,97.9,97.6,99.3,96.3,70.7,92.5,68.3,96.1,81.9,95.8,,71.4,95.5,86.7,73.2,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0.4,,0,0,,0,0,0,0,0,14,0,0,0.4,0,NA,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,NA,0,0,0,0,0,0,3.4,0,0,1,0.6,0,,0,0,0.6,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,92,106,95,,53,68,,108,160,184,127,40,78,177,23,74,119,NA,72,57,124,96,84,17,74,120,54,72,199,16,5,39,NA,158,115,33,18,21,30,42,111,231,53,262,39,,184,75,118,306,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,132,159,100,,73,94,,128,186,259,174,62,93,212,32,88,143,NA,106,70,179,126,113,22,81,163,87,97,253,23,7,52,NA,196,144,37,23,46,38,52,147,364,117,467,50,,298,89,228,510,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,40.2,43.8,37,,23.2,44.5,,44.3,45.1,43.9,28.7,30.2,30.6,60.7,7.7,42.5,33.5,NA,20.5,33.3,44.1,23.6,54.3,11,63.3,42.1,35.4,24.7,60.7,5.7,3.1,15.1,NA,62.6,48.2,78.7,7.7,10.7,8.5,25.4,34.9,58.1,17.9,58.2,69.4,,49.3,57.1,31.5,42.4,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,104224,104142,104143,148182,,138420,147721,,138452,145305,103845,104235,103830,139305,140462,144499,104325,145563,103838,104207,104175,131433,104189,104094,104271,143821,104236,103800,103823,116773,116865,103780,135453,139610,104315,103882,116646,143507,139457,141489,104174,144657,138664,135956,135461,,137390,103877,140126,104259,,,School Unique Reference Number
50,CENSUS_21,LA,335,335,335,332,,335,332,,335,332,332,335,332,335,334,335,336,332,332,335,335,335,335,334,335,332,335,332,332,885,885,332,334,335,336,332,885,885,334,332,335,332,885,335,335,,332,332,332,335,,,LA number
51,CENSUS_21,ESTAB,3100,2000,2001,2014,,2005,2013,,2010,2009,3306,3310,2153,2104,3011,2034,2069,6009,3010,2228,2102,2245,2117,3311,7004,2007,3312,2111,2146,2901,3302,2036,6010,3805,2051,7008,2002,4575,3012,3303,2101,4612,4044,6907,7014,,5405,7001,4800,5401,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,408,359,269,333,,246,286,,490,647,652,228,375,391,420,229,503,71,594,230,459,566,238,224,120,426,284,421,511,438,217,380,16,332,393,50,325,432,501,200,491,722,742,934,75,,589,181,843,1477,,,Total number of pupils on roll
54,CENSUS_21,NORG,197,175,126,163,,110,129,,226,340,320,126,202,184,202,104,256,18,282,111,213,256,127,100,32,205,141,210,247,213,111,174,2,167,193,0,175,206,239,105,215,366,349,471,7,,302,53,441,726,,,Number of girls on roll
