No,Namespace,Variable,Bramford Primary School - 139437,Thorns Primary School - 103787,St George and St Teresa Catholic Primary School - 104101,St George and St Teresa Catholic Primary School - 148088,Rushall Primary School - 104196,Field View Primary School - 141775,The Rowan School - 144374,The Old Park School - 103880,Holy Trinity Catholic Primary School - 104378,Dorridge Primary School - 104045,Greenfield Primary School - 104216,Milking Bank Primary School - 103834,Brierley Hill Primary School - 103776,Russells Hall Primary School - 103813,Christ Church CofE Primary School - 104220,Lodge Farm Primary School - 142765,St Giles Church of England Primary School - 104226,Goldsmith Primary Academy - 138591,Withymoor Primary School - 103809,Hurst Hill Primary School - 143537,St Francis Catholic Primary School - 104239,Barcroft Primary School - 135081,Manor Primary School - 141858,Castle School - 104269,Old Hall School - 104274,Phoenix Academy - 143382,Hob Green Primary School - 143196,Leamore Primary School - 104157,Woodsetton School - 103879,Sunshine Infant and Nursery School - 104145,Villiers Primary School - 145715,Roberts Primary School - 103821,Brockmoor Primary School - 103777,Rosedale Church of England C Infant School - 104225,Short Heath Junior School - 104188,Shustoke CofE Primary School - 125684,The King Alfred School - 148564,Rufford Primary School - 148685,Rufford Primary School - 103803,Castlefort Junior Mixed and Infant School - 104204,Blakenall Heath Junior School - 104144,St Mark's CofE Primary School - 103836,Arden - 136333,Thorns Collegiate Academy - 143818,Ormiston SWB Academy - 145008,Bow Street School - 142603,Willenhall E-ACT Academy - 137706,Beacon Hill Academy - 137705,Moseley Park - 138098,Ormiston Shelfield Community Academy - 135769,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,139437,103787,104101,148088,104196,141775,144374,103880,104378,104045,104216,103834,103776,103813,104220,142765,104226,138591,103809,143537,104239,135081,141858,104269,104274,143382,143196,104157,103879,104145,145715,103821,103777,104225,104188,125684,148564,148685,103803,104204,104144,103836,136333,143818,145008,142603,137706,137705,138098,135769,,,School unique reference number
2,L,LANAME,Dudley,Dudley,Solihull,Solihull,Walsall,Wolverhampton,Dudley,Dudley,Wolverhampton,Solihull,Walsall,Dudley,Dudley,Dudley,Walsall,Walsall,Walsall,Walsall,Dudley,Dudley,Walsall,Walsall,Wolverhampton,Walsall,Walsall,Walsall,Dudley,Walsall,Dudley,Walsall,Wolverhampton,Dudley,Dudley,Walsall,Walsall,Warwickshire,Dudley,Dudley,Dudley,Walsall,Walsall,Dudley,Solihull,Dudley,Wolverhampton,Wolverhampton,Walsall,Dudley,Wolverhampton,Walsall,,,Local authority name
3,L,LA,332,332,334,334,335,336,332,332,336,334,335,332,332,332,335,335,335,335,332,332,335,335,336,335,335,335,332,335,332,335,336,332,332,335,335,937,332,332,332,335,335,332,334,332,336,336,335,332,336,335,,,Local authority number
4,L,ESTAB,2001,2067,3503,3503,2205,2049,6008,7004,3309,2008,2239,2160,2023,2136,3000,2025,3102,2007,2126,2006,3322,3329,2072,7002,7007,7013,2156,2024,7003,2003,2054,2144,2024,3101,2116,3207,6011,2118,2118,2222,2002,3008,4017,4001,4007,6001,4002,5403,4000,6906,,,Establishment number
5,L,LAESTAB,3322001,3322067,3343503,3343503,3352205,3362049,3326008,3327004,3363309,3342008,3352239,3322160,3322023,3322136,3353000,3352025,3353102,3352007,3322126,3322006,3353322,3353329,3362072,3357002,3357007,3357013,3322156,3352024,3327003,3352003,3362054,3322144,3322024,3353101,3352116,9373207,3326011,3322118,3322118,3352222,3352002,3323008,3344017,3324001,3364007,3366001,3354002,3325403,3364000,3356906,,,DfE number
6,L,SCHNAME,Bramford Primary School,Thorns Primary School,St George and St Teresa Catholic Primary School,St George and St Teresa Catholic Primary School,Rushall Primary School,Field View Primary School,The Rowan School,The Old Park School,Holy Trinity Catholic Primary School,Dorridge Primary School,Greenfield Primary School,Milking Bank Primary School,Brierley Hill Primary School,Russells Hall Primary School,Christ Church CofE Primary School,Lodge Farm Primary School,St Giles Church of England Primary School,Goldsmith Primary Academy,Withymoor Primary School,Hurst Hill Primary School,St Francis Catholic Primary School,Barcroft Primary School,Manor Primary School,Castle School,Old Hall School,Phoenix Academy,Hob Green Primary School,Leamore Primary School,Woodsetton School,Sunshine Infant and Nursery School,Villiers Primary School,Roberts Primary School,Brockmoor Primary School,Rosedale Church of England C Infant School,Short Heath Junior School,Shustoke CofE Primary School,The King Alfred School,Rufford Primary School,Rufford Primary School,Castlefort Junior Mixed and Infant School,Blakenall Heath Junior School,St Mark's CofE Primary School,Arden,Thorns Collegiate Academy,Ormiston SWB Academy,Bow Street School,Willenhall E-ACT Academy,Beacon Hill Academy,Moseley Park,Ormiston Shelfield Community Academy,,,School name
7,L,STREET,Chad Road,Thorns Road,Mill Lane,Mill Lane,Pelsall Lane,Lonsdale Road,Tunnel Street,Thorns Road,Fraser Street,Station Road,Coalheath Lane,Milking Bank Primary School,Mill Street,Overfield Road,Harden Road,Willenhall School Sports College Campus,Walsall Street,Goldsmith Road,Gayfield Avenue,Paul Street,Mill Road,Barcroft,Ettingshall Road,Odell Road,Bentley Lane,Odell Road,Hob Green Road,Bloxwich Road,Tipton Road,Blakenall Lane,Prouds Lane,"Roberts Primary School,  Robert Street",Belle Isle,Stroud Avenue,Pennine Way,Forge Road,Lake Street,Bredon Avenue,Bredon Avenue,Castlefort Road,Field Road,High Street,Station Road,Stockwell Avenue,Dudley Street,Bow Street,Furzebank Way,High Arcal Drive,Holland Road,Broad Way,,,School address (1)
8,L,LOCALITY,Coseley,Quarry Bank,Bentley Heath,Bentley Heath,Rushall,,Coseley,,,Dorridge,Shelfield,Aintree Way,,Russells Hall Estate,Leamore,Furzebank Way,,,Off Turners Lane,Hurst Hill,Shelfield,,Coseley,Leamore,,Leamore,Pedmore Fields,Leamore,Woodsetton,Leamore,,Lower Gornal,Brockmoor,Short Heath,,Shustoke,,,,Walsall Wood,Bloxwich,Pensnett,Knowle,,,Bilston,,Sedgley,,High Heath,,,School address (2)
9,L,ADDRESS3,,,,,,,Dudley,,,,,Milking Bank,,,,,,,,Coseley,,,,,,,,,,,,,,,,Coleshill,Lower Gornal,,,,,,,Quarry Bank,,West Midlands,,,,Pelsall,,,School address (3)
10,L,TOWN,Bilston,Brierley Hill,Solihull,Solihull,Walsall,Bilston,West Midlands,Brierley Hill,Bilston,Solihull,Walsall,DUDLEY,Brierley Hill,Dudley,WALSALL,Willenhall,Willenhall,Harden,Brierley Hill,Bilston,Walsall,Willenhall,Bilston,Walsall,Walsall,Walsall,Stourbridge,Walsall,Dudley,Walsall,Bilston,Dudley,Brierley Hill,Willenhall,Willenhall,Birmingham,Dudley,Stourbridge,Stourbridge,Walsall,Walsall,Brierley Hill,Solihull,Brierley Hill,Bilston,,Willenhall,Dudley,Bilston,Walsall,,,School town
11,L,POSTCODE,WV14 9TU,DY5 2JY,B93 8PA,B93 8PA,WS4 1NQ,WV14 7AE,WV14 9DE,DY5 2JY,WV14 7PD,B93 8EU,WS4 1PL,DY1 2SL,DY5 2TD,DY1 2NX,WS3 1EN,WV12 4BU,WV13 2ER,WS3 1DL,DY5 2BH,WV14 9AJ,WS4 1RH,WV13 1NA,WV14 9UQ,WS3 2ED,WS2 7LU,WS3 2ED,DY9 9EX,WS3 2BB,DY3 1BY,WS3 1HF,WV14 6PR,DY3 2AZ,DY5 3UZ,WV12 4EG,WV12 4DS,B46 2AU,DY3 2AU,DY9 7NR,DY9 7NR,WS9 9JP,WS3 3JF,DY5 4DZ,B93 0PT,DY5 2NU,WV14 0LN,WV14 7NB,WV12 4BD,DY3 1BP,WV14 6LU,WS4 1BW,,,School postcode
12,L,SCHSTATUS,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,01-04-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-07-2021,01-09-2021,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,31-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-08-2021,,,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Special school,Special school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Academy,Special school,Special school,Special school,Academy,Maintained school,Special school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Independent school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Special school,Academy,Academy,Academy,Academy,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy sponsor led,Community school,Voluntary aided school,Academy converter,Community school,Academy converter,Other independent special school,Community special school,Voluntary aided school,Community school,Community school,Community school,Community school,Community school,Voluntary controlled school,Academy sponsor led,Voluntary controlled school,Academy sponsor led,Community school,Academy sponsor led,Voluntary aided school,Community school,Academy converter,Community special school,Community special school,Academy special converter,Academy converter,Community school,Community special school,Community school,Academy converter,Community school,Community school,Voluntary controlled school,Community school,Voluntary controlled school,Other independent school,Academy converter,Community school,Community school,Community school,Voluntary controlled school,Academy converter,Academy sponsor led,Academy sponsor led,Other independent special school,Academy sponsor led,Academy converter,Academy sponsor led,Academy sponsor led,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,5,3,3,3,3,5,4,3,3,3,3,2,4,3,2,3,2,5,3,3,3,3,7,3,4,3,2,4,3,3,3,3,5,7,4,3,4,4,2,7,3,11,11,11,13,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,11,11,7,11,11,11,7,11,11,11,11,11,11,11,11,18,16,19,16,18,16,18,18,,,Highest age of entry
