No,Namespace,Variable,St John's Church of England Primary School - 104228,Shenstone Lodge School - 104024,Shenstone Lodge School - 147347,Oakwood School - 104275,The Secret Garden - 148243,Peters Hill Primary School - 103791,Red Hall Primary School - 103784,Rivers Primary Academy - 140196,Bloxwich Academy - 137274,Bilston Church of England Primary School - 130305,The Bromley-Pensnett Primary School - 141979,Stow Heath Primary School - 104323,Tudor Grange Primary Academy Hockley Heath - 138462,Hill Avenue Academy - 143151,Lanesfield Primary School - 104327,St Chad's Catholic Primary School - 140144,Ham Dingle Primary Academy - 143822,Ham Dingle Primary School - 103808,St Michael's Church of England C Primary School - 104227,Sunfield Children's Home Ltd - 117033,Woodlands Academy of Learning - 138343,Queen Victoria Primary School - 103826,St Peter's Church of England Primary Academy - 142982,Green Park School - 104415,Walsall Wood School - 104201,Fibbersley Park Academy - 143417,Elmore Green Primary School - 104153,Stowlawn Primary School - 104317,Hawbush Primary School - 103820,Cotwall End Primary School - 103810,Blackwell First School - 116665,All Saints National Academy - 141410,Springfield House Community Special School - 103623,Busill Jones Primary School - 104146,Busill Jones Primary School - 146785,"St Peter's Catholic Primary School, Bloxwich - 104234",Kingsbury Primary School - 134924,Pedmore CE Primary School - 103848,Clent Parochial Primary School - 116796,The Pedmore High School - 145593,Mary Elliot School - 104272,Black Country Wheels School - 137571,The Dormston School - 103855,Ellowes Hall Sports College - 141570,Hunters Hill College - 103609,Redhill School - 139872,Kingsbury School - A Specialist Science and Mathematics Academy - 145019,Shire Oak Academy - 136620,Pool Hayes Academy - 142594,Wolverhampton Vocational Training Centre - 142123,National state-funded primary,National state-funded secondary and 16 to 18,Description
1,L,URN,104228,104024,147347,104275,148243,103791,103784,140196,137274,130305,141979,104323,138462,143151,104327,140144,143822,103808,104227,117033,138343,103826,142982,104415,104201,143417,104153,104317,103820,103810,116665,141410,103623,104146,146785,104234,134924,103848,116796,145593,104272,137571,103855,141570,103609,139872,145019,136620,142594,142123,,,School unique reference number
2,L,LANAME,Walsall,Sandwell,Sandwell,Walsall,Warwickshire,Dudley,Dudley,Walsall,Walsall,Wolverhampton,Dudley,Wolverhampton,Solihull,Wolverhampton,Wolverhampton,Dudley,Dudley,Dudley,Walsall,Worcestershire,Walsall,Dudley,Staffordshire,Wolverhampton,Walsall,Walsall,Walsall,Wolverhampton,Dudley,Dudley,Worcestershire,Walsall,Birmingham,Walsall,Walsall,Walsall,Warwickshire,Dudley,Worcestershire,Dudley,Walsall,Dudley,Dudley,Dudley,Birmingham,Dudley,Warwickshire,Walsall,Walsall,Wolverhampton,,,Local authority name
3,L,LA,335,333,333,335,937,332,332,335,335,336,332,336,334,336,336,332,332,332,335,885,335,332,860,336,335,335,335,336,332,332,885,335,330,335,335,335,937,332,885,332,335,332,332,332,330,332,937,335,335,336,,,Local authority number
4,L,ESTAB,3111,7001,7001,7011,6033,2075,2052,2017,4001,3024,2002,2066,2057,2033,2071,3304,2008,2125,3110,6024,2118,2149,3114,7008,2218,2029,2016,2053,2143,2130,2022,2019,7047,2004,2036,3306,3596,3354,3022,4105,7005,6007,4023,5401,7026,4119,4012,5402,4106,7001,,,Establishment number
5,L,LAESTAB,3353111,3337001,3337001,3357011,9376033,3322075,3322052,3352017,3354001,3363024,3322002,3362066,3342057,3362033,3362071,3323304,3322008,3322125,3353110,8856024,3352118,3322149,8603114,3367008,3352218,3352029,3352016,3362053,3322143,3322130,8852022,3352019,3307047,3352004,3352036,3353306,9373596,3323354,8853022,3324105,3357005,3326007,3324023,3325401,3307026,3324119,9374012,3355402,3354106,3367001,,,DfE number
6,L,SCHNAME,St John's Church of England Primary School,Shenstone Lodge School,Shenstone Lodge School,Oakwood School,The Secret Garden,Peters Hill Primary School,Red Hall Primary School,Rivers Primary Academy,Bloxwich Academy,Bilston Church of England Primary School,The Bromley-Pensnett Primary School,Stow Heath Primary School,Tudor Grange Primary Academy Hockley Heath,Hill Avenue Academy,Lanesfield Primary School,St Chad's Catholic Primary School,Ham Dingle Primary Academy,Ham Dingle Primary School,St Michael's Church of England C Primary School,Sunfield Children's Home Ltd,Woodlands Academy of Learning,Queen Victoria Primary School,St Peter's Church of England Primary Academy,Green Park School,Walsall Wood School,Fibbersley Park Academy,Elmore Green Primary School,Stowlawn Primary School,Hawbush Primary School,Cotwall End Primary School,Blackwell First School,All Saints National Academy,Springfield House Community Special School,Busill Jones Primary School,Busill Jones Primary School,"St Peter's Catholic Primary School, Bloxwich",Kingsbury Primary School,Pedmore CE Primary School,Clent Parochial Primary School,The Pedmore High School,Mary Elliot School,Black Country Wheels School,The Dormston School,Ellowes Hall Sports College,Hunters Hill College,Redhill School,Kingsbury School - A Specialist Science and Mathematics Academy,Shire Oak Academy,Pool Hayes Academy,Wolverhampton Vocational Training Centre,,,School name
7,L,STREET,Brook Lane,Birmingham Road,Birmingham Road,Druids Walk,"Shustoke Hall, Moathouse Lane",Peters Hill Road,Zoar Street,Livingstone Road,Leamore Lane,Albany Crescent,Bromley,Hill Road,School Road,Hill Avenue,Newman Avenue,Catholic Lane,Ham Dingle Primary School,Old Ham Lane,Maple Road,Clent Grove,Bloxwich Road North,Bilston Street,Main Street,Green Park Avenue,Brownhills Road,Noose Lane,Elmore Green Road,Green Park Avenue,Hawbush Road,Cotwall End Road,St Catherine's Road,High Street,Kenilworth Road,Ashley Road,Ashley Road,Lichfield Road,Bromage Avenue,Hagley Road,Clent Parochial Primary School,Grange Lane,Leamore Lane,Units 3 & 4,Mill Bank,Stickley Lane,Spirehouse Lane,Junction Road,Tamworth Road,Lichfield Road,Castle Drive,Millfields Road,,,School address (1)
8,L,LOCALITY,Walsall Wood,Shenstone,Shenstone,Walsall Wood,Shustoke,Amblecote,Lower Gornal,Blakenall,Bloxwich,,Pensnett,Portobello,Hockley Heath,Lanesfield,Lanesfield,Sedgley,Old Ham Lane,Pedmore,Pelsall,Woodman Lane,Short Heath,Sedgley,Stonnall,Stowlawn,Brownhills,,Bloxwich,Stowlawn,,Sedgley,Blackwell,Bloxwich,Knowle,Bloxwich,Bloxwich,Bloxwich,Kingsbury,Pedmore,Bromsgrove Road,Pedmore,,Gainsborough Trading Estate,Sedgley,Lower Gornal,Blackwell,,Kingsbury,Walsall Wood,,Ettingshall,,,School address (2)
9,L,ADDRESS3,,,,,,,,,,,,,,,,,Pedmore,,,Clent,,,,,,,,,,,,,,,,,,,,,,Rufford Road,,,,,,,,,,,School address (3)
10,L,TOWN,Walsall,Lichfield,Lichfield,Walsall,Birmingham,Brierley Hill,Dudley,Walsall,Walsall,Bilston,Brierley Hill,Willenhall,Solihull,Wolverhampton,Wolverhampton,Dudley,Stourbridge,Stourbridge,Walsall,Stourbridge,Willenhall,Dudley,Walsall,Bilston,Walsall,Willenhall,Walsall,Bilston,Brierley Hill,Dudley,Bromsgrove,Walsall,Solihull,Walsall,Walsall,Walsall,Tamworth,Stourbridge,Clent,Stourbridge,Walsall,Stourbridge,Dudley,Dudley,Bromsgrove,Stourbridge,Tamworth,Walsall,Willenhall,Wolverhampton,,,School town
