seasoncollected,phylum,yearcollected
spring,Annelida,1994
spring,Mollusca,1994
spring,Ochrophyta,1994
spring,Nemertea,1994
spring,Arthropoda,1994
spring,Foraminifera,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,Priapulida,1994
spring,Arthropoda,1994
spring,Nematoda,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Mollusca,1994
spring,Annelida,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,Priapulida,1994
spring,Priapulida,1994
spring,Arthropoda,1994
spring,Nematoda,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,Nemertea,1994
spring,Annelida,1994
spring,Ochrophyta,1994
spring,Mollusca,1994
spring,Mollusca,1994
spring,Arthropoda,1994
spring,Mollusca,1994
spring,Ochrophyta,1994
spring,Arthropoda,1994
spring,Foraminifera,1994
spring,Annelida,1994
spring,Annelida,1994
spring,Annelida,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,Priapulida,1994
spring,Annelida,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,Nematoda,1994
spring,Annelida,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,Priapulida,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Nematoda,1994
spring,Mollusca,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,,1994
spring,,1994
spring,,1994
spring,,1994
spring,Annelida,1994
spring,Nemertea,1994
spring,Mollusca,1994
spring,Ochrophyta,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Ochrophyta,1994
spring,Mollusca,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Arthropoda,1994
spring,Arthropoda,1994
spring,Mollusca,1994
spring,Annelida,1994
spring,,1994
spring,,1994
spring,,1994
spring,Arthropoda,1994
spring,Annelida,1994
spring,Annelida,1994
